Paper's Reference [-],Fluid 1 [-],Fluid 1 Superficial Velocity [m/s],Fluid 1 Viscosity [Pa.s],Fluid 1 Density [kg/m³],Fluid 2 [-],Fluid 2 Superficial Velocity [m/s],Fluid 2 Viscosity [Pa.s],Fluid 2 Density [kg/m³],Internal Diameter [m],Duct Inclination [°],Interfacial Tension [N/m],Pressure Gradient [Pa/m],Model Prediction Pressure Gradient [Pa/m]
Ottens et al. (2001),Water-Glycerol,0.0906,0.002,1087.0,Air,9.995,1.8e-05,1.18,0.052,0.0,0.061,43.09,47.9392248595927
Ottens et al. (2001),Water-Glycerol,0.0464,0.002,1087.0,Air,10.02,1.8e-05,1.18,0.052,0.0,0.061,35.06,37.5248589704712
Ottens et al. (2001),Water-Glycerol,0.0406,0.002,1087.0,Air,10.03,1.8e-05,1.18,0.052,0.0,0.061,34.86,36.2069174104294
Ottens et al. (2001),Water-Glycerol,0.0353,0.002,1087.0,Air,10.04,1.8e-05,1.18,0.052,0.0,0.061,34.66,35.00374444797
Ottens et al. (2001),Water-Glycerol,0.0631,0.002,1087.0,Air,10.01,1.8e-05,1.18,0.052,0.0,0.061,37.41,41.42774412853
Ottens et al. (2001),Water-Glycerol,0.039,0.002,1087.0,Air,12.49,1.8e-05,1.18,0.052,0.0,0.061,55.62,50.4635388681805
Ottens et al. (2001),Water-Glycerol,0.0363,0.002,1087.0,Air,12.48,1.8e-05,1.18,0.052,0.0,0.061,54.52,49.6325506950086
Ottens et al. (2001),Water-Glycerol,0.1151,0.002,1087.0,Air,12.43,1.8e-05,1.18,0.052,0.0,0.061,70.9,410.362355601698
Ottens et al. (2001),Water-Glycerol,0.0906,0.002,1087.0,Air,12.44,1.8e-05,1.18,0.052,0.0,0.061,66.2,357.769300432471
Ottens et al. (2001),Water-Glycerol,0.0634,0.002,1087.0,Air,12.5,1.8e-05,1.18,0.052,0.0,0.061,61.11,57.4311565124859
Ottens et al. (2001),Water-Glycerol,0.048,0.002,1087.0,Air,12.47,1.8e-05,1.18,0.052,0.0,0.061,57.58,52.8817864882696
Ottens et al. (2001),Water-Glycerol,0.0352,0.002,1087.0,Air,9.521,1.8e-05,1.18,0.052,1.0,0.061,37.8,169.813259494131
Ottens et al. (2001),Water-Glycerol,0.0397,0.002,1087.0,Air,9.495,1.8e-05,1.18,0.052,1.0,0.061,39.17,180.284164373747
Ottens et al. (2001),Water-Glycerol,0.0469,0.002,1087.0,Air,9.495,1.8e-05,1.18,0.052,1.0,0.061,40.54,196.910119062101
Ottens et al. (2001),Water-Glycerol,0.0618,0.002,1087.0,Air,9.505,1.8e-05,1.18,0.052,1.0,0.061,43.48,229.109218433613
Ottens et al. (2001),Water-Glycerol,0.0354,0.002,1087.0,Air,10.95,1.8e-05,1.18,0.052,1.0,0.061,46.22,194.04464527424
Ottens et al. (2001),Water-Glycerol,0.0396,0.002,1087.0,Air,10.95,1.8e-05,1.18,0.052,1.0,0.061,47.2,205.417898184333
Ottens et al. (2001),Water-Glycerol,0.0469,0.002,1087.0,Air,10.91,1.8e-05,1.18,0.052,1.0,0.061,48.49,223.538402488258
Ottens et al. (2001),Water-Glycerol,0.0621,0.002,1087.0,Air,10.92,1.8e-05,1.18,0.052,1.0,0.061,52.29,260.197086094287
Ottens et al. (2001),Water-Glycerol,0.0882,0.002,1087.0,Air,10.94,1.8e-05,1.18,0.052,1.0,0.061,57.38,317.294226409231
Ottens et al. (2001),Water-Glycerol,0.1115,0.002,1087.0,Air,10.92,1.8e-05,1.18,0.052,1.0,0.061,61.5,362.735447008426
Ottens et al. (2001),Water-Glycerol,0.0866,0.002,1087.0,Air,9.516,1.8e-05,1.18,0.052,1.0,0.061,47.79,277.569275985628
Ottens et al. (2001),Water-Glycerol,0.1124,0.002,1087.0,Air,9.505,1.8e-05,1.18,0.052,1.0,0.061,51.7,322.648798780395
Ottens et al. (2001),Water-Glycerol,0.0342,0.002,1087.0,Air,7.981,1.8e-05,1.18,0.052,1.0,0.061,40.34,142.742613106943
Ottens et al. (2001),Water-Glycerol,0.0393,0.002,1087.0,Air,7.96,1.8e-05,1.18,0.052,1.0,0.061,41.13,153.249321400836
Ottens et al. (2001),Water-Glycerol,0.0473,0.002,1087.0,Air,7.965,1.8e-05,1.18,0.052,1.0,0.061,42.3,169.434184870582
Ottens et al. (2001),Water-Glycerol,0.1096,0.002,1087.0,Air,12.91,1.8e-05,1.18,0.052,1.0,0.061,80.69,417.438054844021
Ottens et al. (2001),Water-Glycerol,0.085,0.002,1087.0,Air,12.94,1.8e-05,1.18,0.052,1.0,0.061,75.01,361.843373432469
Ottens et al. (2001),Water-Glycerol,0.0601,0.002,1087.0,Air,12.94,1.8e-05,1.18,0.052,1.0,0.061,73.45,299.075182287562
Ottens et al. (2001),Water-Glycerol,0.0449,0.002,1087.0,Air,12.92,1.8e-05,1.18,0.052,1.0,0.061,65.61,256.365625917525
Ottens et al. (2001),Water-Glycerol,0.0378,0.002,1087.0,Air,12.91,1.8e-05,1.18,0.052,1.0,0.061,63.46,234.924614687207
Ottens et al. (2001),Water-Glycerol,0.0336,0.002,1087.0,Air,12.91,1.8e-05,1.18,0.052,1.0,0.061,62.28,221.75007537597
Ottens et al. (2001),Water-Glycerol,0.1092,0.002,1087.0,Air,10.91,1.8e-05,1.18,0.052,2.0,0.061,71.29,363.699196410128
Ottens et al. (2001),Water-Glycerol,0.0842,0.002,1088.0,Air,10.9,1.8e-05,1.19,0.052,2.0,0.061,65.61,314.009617285112
Ottens et al. (2001),Water-Glycerol,0.0589,0.002,1088.0,Air,10.94,1.8e-05,1.19,0.052,2.0,0.061,58.76,258.382502818883
Ottens et al. (2001),Water-Glycerol,0.0448,0.002,1088.0,Air,10.96,1.8e-05,1.19,0.052,2.0,0.061,55.52,223.785912971477
Ottens et al. (2001),Water-Glycerol,0.0377,0.002,1088.0,Air,10.94,1.8e-05,1.19,0.052,2.0,0.061,52.29,204.476091467786
Ottens et al. (2001),Water-Glycerol,0.0339,0.002,1088.0,Air,10.93,1.8e-05,1.19,0.052,2.0,0.061,50.14,193.692280785294
Perez (2008),Water,0.04,0.001,1000.0,Air,0.15,1.8e-05,1.224,0.038,0.0,0.072,14.65346744646,1.17125378171706
Perez (2008),Water,0.04,0.001,1000.0,Air,0.88,1.8e-05,1.224,0.038,0.0,0.072,11.3066485681108,2.57802227832812
Perez (2008),Water,0.04,0.001,1000.0,Air,1.52,1.8e-05,1.224,0.038,0.0,0.072,16.1344029862617,4.28138055239902
Perez (2008),Water,0.04,0.001,1000.0,Air,2.28,1.8e-05,1.224,0.038,0.0,0.072,16.0469148501833,6.69604541036732
Perez (2008),Water,0.04,0.001,1000.0,Air,3.04,1.8e-05,1.224,0.038,0.0,0.072,11.0712259473904,9.51677437527591
Perez (2008),Water,0.04,0.001,1000.0,Air,3.97,1.8e-05,1.224,0.038,0.0,0.072,20.7553672645908,13.4964545538971
Perez (2008),Water,0.04,0.001,1000.0,Air,4.91,1.8e-05,1.224,0.038,0.0,0.072,19.0326463305356,18.086212443924
Perez (2008),Water,0.04,0.001,1000.0,Air,6.89,1.8e-05,1.224,0.038,0.0,0.072,62.8323886382073,29.5343120285354
Perez (2008),Water,0.04,0.001,1000.0,Air,9.33,1.8e-05,1.224,0.038,0.0,0.072,96.8080086109535,46.7975013574364
Perez (2008),Water,0.04,0.001,1000.0,Air,12.32,1.8e-05,1.224,0.038,0.0,0.072,137.24343441306,72.4492465889069
Perez (2008),Water,0.05,0.001,1000.0,Air,0.15,1.8e-05,1.224,0.038,0.0,0.072,11.3909553174229,1.60693083019715
Perez (2008),Water,0.05,0.001,1000.0,Air,0.88,1.8e-05,1.224,0.038,0.0,0.072,11.308239261494,3.23409352963458
Perez (2008),Water,0.05,0.001,1000.0,Air,1.52,1.8e-05,1.224,0.038,0.0,0.072,11.2446115261641,5.13105864024803
Perez (2008),Water,0.05,0.001,1000.0,Air,2.28,1.8e-05,1.224,0.038,0.0,0.072,14.4228169058893,7.76628698061786
Perez (2008),Water,0.05,0.001,1000.0,Air,3.04,1.8e-05,1.224,0.038,0.0,0.072,12.7000959718341,10.8012584140566
Perez (2008),Water,0.05,0.001,1000.0,Air,3.97,1.8e-05,1.224,0.038,0.0,0.072,17.4976272157034,15.0371727827689
Perez (2008),Water,0.05,0.001,1000.0,Air,4.91,1.8e-05,1.224,0.038,0.0,0.072,19.0358277173021,19.8809634633792
