Paper's Reference [-],Fluid 1 [-],Fluid 1 Superficial Velocity [m/s],Fluid 1 Viscosity [Pa.s],Fluid 1 Density [kg/m³],Fluid 2 [-],Fluid 2 Superficial Velocity [m/s],Fluid 2 Viscosity [Pa.s],Fluid 2 Density [kg/m³],Internal Diameter [m],Duct Inclination [°],Interfacial Tension [N/m],Pressure Gradient [Pa/m],Model Prediction Pressure Gradient [Pa/m]
Andritsos (1986),Water,0.05758,0.001,1000.0,Air,13.25,1.8e-05,1.224,0.0953,0.0,0.072,65.33,29.2915265346369
Andritsos (1986),Water,0.06002,0.001,1000.0,Air,16.7,1.8e-05,1.224,0.0953,0.0,0.072,85.45,42.4668420056226
Andritsos (1986),Water,0.05913,0.001,1000.0,Air,19.53,1.8e-05,1.224,0.0953,0.0,0.072,124.6,54.3217402443267
Andritsos (1986),Water,0.0585,0.001,1000.0,Air,24.12,1.8e-05,1.224,0.0953,0.0,0.072,205.8,201.28289953409
Andritsos (1986),Water,0.1122,0.001,1000.0,Air,12.56,1.8e-05,1.224,0.0953,0.0,0.072,74.99,33.7808215176082
Andritsos (1986),Water,0.1106,0.001,1000.0,Air,15.97,1.8e-05,1.224,0.0953,0.0,0.072,104.4,47.1876422992001
Andritsos (1986),Water,0.1106,0.001,1000.0,Air,20.04,1.8e-05,1.224,0.0953,0.0,0.072,192.4,250.966519548063
Andritsos (1986),Water,0.1173,0.001,1000.0,Air,23.66,1.8e-05,1.224,0.0953,0.0,0.072,283.8,309.964152817725
Andritsos (1986),Water,0.149,0.001,1000.0,Air,3.16,1.8e-05,1.224,0.0953,0.0,0.072,51.63,8.85335954778721
Andritsos (1986),Water,0.1433,0.001,1000.0,Air,4.44,1.8e-05,1.224,0.0953,0.0,0.072,77.89,11.5342239389924
Andritsos (1986),Water,0.1524,0.001,1000.0,Air,7.02,1.8e-05,1.224,0.0953,0.0,0.072,44.71,19.3680771753614
Andritsos (1986),Water,0.1762,0.001,1000.0,Air,13.03,1.8e-05,1.224,0.0953,0.0,0.072,95.7,243.427164310756
Andritsos (1986),Water,0.1762,0.001,1000.0,Air,16.87,1.8e-05,1.224,0.0953,0.0,0.072,164.1,307.492047630193
Andritsos (1986),Water,0.1737,0.001,1000.0,Air,19.8,1.8e-05,1.224,0.0953,0.0,0.072,218.1,352.639657974445
Andritsos (1986),Water,0.1737,0.001,1000.0,Air,24.23,1.8e-05,1.224,0.0953,0.0,0.072,330.1,427.506893620299
Andritsos (1986),Glycerin (62%),0.002134,0.012,1160.0,Air,3.04,1.8e-05,1.224,0.0953,0.0,0.068,1.964,1.99283688864594
Andritsos (1986),Glycerin (62%),0.002347,0.012,1160.0,Air,5.06,1.8e-05,1.224,0.0953,0.0,0.068,5.514,4.52124096536083
Andritsos (1986),Glycerin (62%),0.002591,0.012,1160.0,Air,6.55,1.8e-05,1.224,0.0953,0.0,0.068,9.755,6.96636083393112
Andritsos (1986),Glycerin (62%),0.003597,0.012,1160.0,Air,0.89,1.8e-05,1.224,0.0953,0.0,0.068,17.08,0.456036147371864
Andritsos (1986),Glycerin (62%),0.009479,0.012,1160.0,Air,3.59,1.8e-05,1.224,0.0953,0.0,0.068,2.859,3.37433662318631
Andritsos (1986),Glycerin (62%),0.007346,0.012,1160.0,Air,5.54,1.8e-05,1.224,0.0953,0.0,0.068,6.664,6.00816238644028
Andritsos (1986),Glycerin (62%),0.009296,0.012,1160.0,Air,6.93,1.8e-05,1.224,0.0953,0.0,0.068,10.37,8.76786346612747
Andritsos (1986),Glycerin (62%),0.009571,0.012,1160.0,Air,8.75,1.8e-05,1.224,0.0953,0.0,0.068,20.11,12.6763334113389
Andritsos (1986),Glycerin (62%),0.01594,0.012,1160.0,Air,3.04,1.8e-05,1.224,0.0953,0.0,0.068,2.576,3.16547157263666
Andritsos (1986),Glycerin (62%),0.01966,0.012,1160.0,Air,4.92,1.8e-05,1.224,0.0953,0.0,0.068,6.315,6.19875552122733
Andritsos (1986),Glycerin (62%),0.01923,0.012,1160.0,Air,7.03,1.8e-05,1.224,0.0953,0.0,0.068,12.96,10.129510153797
Andritsos (1986),Glycerin (62%),0.01923,0.012,1160.0,Air,7.17,1.8e-05,1.224,0.0953,0.0,0.068,14.09,10.4229122705972
Andritsos (1986),Glycerin (62%),0.01923,0.012,1160.0,Air,8.96,1.8e-05,1.224,0.0953,0.0,0.068,20.97,14.4961006346244
Andritsos (1986),Glycerin (62%),0.0445,0.012,1160.0,Air,3.15,1.8e-05,1.224,0.0953,0.0,0.068,3.5,4.93266278079611
Andritsos (1986),Glycerin (62%),0.04115,0.012,1160.0,Air,5.16,1.8e-05,1.224,0.0953,0.0,0.068,7.609,8.1933789419314
Andritsos (1986),Glycerin (62%),0.0445,0.012,1160.0,Air,7.75,1.8e-05,1.224,0.0953,0.0,0.068,17.99,14.0410202655589
Andritsos (1986),Glycerin (62%),0.04313,0.012,1160.0,Air,9.8,1.8e-05,1.224,0.0953,0.0,0.068,29.72,19.2340742547008
Andritsos (1986),Glycerin (62%),0.0004663,0.012,1160.0,Air,13.39,1.8e-05,1.224,0.0953,0.0,0.068,27.54,22.3816089616952
Andritsos (1986),Glycerin (62%),0.0003597,0.012,1160.0,Air,18.39,1.8e-05,1.224,0.0953,0.0,0.068,50.87,39.2183468561184
Andritsos (1986),Glycerin (62%),0.0002774,0.012,1160.0,Air,21.26,1.8e-05,1.224,0.0953,0.0,0.068,67.35,50.6970699044857
Andritsos (1986),Glycerin (62%),0.0002743,0.012,1160.0,Air,26.35,1.8e-05,1.224,0.0953,0.0,0.068,115.5,74.4187025391269
Andritsos (1986),Glycerin (62%),0.001868,0.012,1160.0,Air,14.21,1.8e-05,1.224,0.0953,0.0,0.068,42.75,25.6459882146591
Andritsos (1986),Glycerin (62%),0.001573,0.012,1160.0,Air,18.29,1.8e-05,1.224,0.0953,0.0,0.068,64.12,39.7200225465172
Andritsos (1986),Glycerin (62%),0.001551,0.012,1160.0,Air,20.81,1.8e-05,1.224,0.0953,0.0,0.068,86.28,49.850423483677
Andritsos (1986),Glycerin (62%),0.001524,0.012,1160.0,Air,27.09,1.8e-05,1.224,0.0953,0.0,0.068,158.8,79.4675570166034
Andritsos (1986),Glycerin (62%),0.008992,0.012,1160.0,Air,14.27,1.8e-05,1.224,0.0953,0.0,0.068,54.08,27.9553398304919
Andritsos (1986),Glycerin (62%),0.008473,0.012,1160.0,Air,17.75,1.8e-05,1.224,0.0953,0.0,0.068,84.34,40.1892828635407
Andritsos (1986),Glycerin (62%),0.009174,0.012,1160.0,Air,19.44,1.8e-05,1.224,0.0953,0.0,0.068,97.8,47.1105532849892
Andritsos (1986),Glycerin (62%),0.01009,0.012,1160.0,Air,25.9,1.8e-05,1.224,0.0953,0.0,0.068,165.7,77.3147430293578
Andritsos (1986),Glycerin (62%),0.01372,0.012,1160.0,Air,8.53,1.8e-05,1.224,0.0953,0.0,0.068,22.25,12.7714982095413
Andritsos (1986),Glycerin (62%),0.0164,0.012,1160.0,Air,14.25,1.8e-05,1.224,0.0953,0.0,0.068,50.84,29.3832126429838
Andritsos (1986),Glycerin (62%),0.01868,0.012,1160.0,Air,21.23,1.8e-05,1.224,0.0953,0.0,0.068,109.7,57.2176442952222
Andritsos (1986),Glycerin (62%),0.01996,0.012,1160.0,Air,24.39,1.8e-05,1.224,0.0953,0.0,0.068,170.6,72.4983510746372
Andritsos (1986),Glycerin (62%),0.02079,0.012,1160.0,Air,29.51,1.8e-05,1.224,0.0953,0.0,0.068,258.4,100.243876005652
Andritsos (1986),Glycerin (62%),0.05898,0.012,1160.0,Air,9.36,1.8e-05,1.224,0.0953,0.0,0.068,42.63,19.4298761729173
Andritsos (1986),Glycerin (62%),0.04563,0.012,1160.0,Air,12.95,1.8e-05,1.224,0.0953,0.0,0.068,60.57,29.1076114776368
Andritsos (1986),Glycerin (62%),0.0681,0.012,1160.0,Air,17.8,1.8e-05,1.224,0.0953,0.0,0.068,133.7,52.8670044564581
Andritsos (1986),Glycerin (62%),0.05983,0.012,1160.0,Air,26.26,1.8e-05,1.224,0.0953,0.0,0.068,243.4,504.522088189407
Andritsos (1986),Glycerin (80%),0.002444,0.08,1220.0,Air,6.03,1.8e-05,1.224,0.0953,0.0,0.066,10.21,7.85824552059722
Andritsos (1986),Glycerin (80%),0.001676,0.08,1220.0,Air,7.08,1.8e-05,1.224,0.0953,0.0,0.066,14.26,9.31111757018131
Andritsos (1986),Glycerin (80%),0.001707,0.08,1220.0,Air,8.55,1.8e-05,1.224,0.0953,0.0,0.066,21.85,12.4912629307868
Andritsos (1986),Glycerin (80%),0.001448,0.08,1220.0,Air,12.96,1.8e-05,1.224,0.0953,0.0,0.066,40.8,23.9640539020963
Andritsos (1986),Glycerin (80%),0.001231,0.08,1220.0,Air,16.19,1.8e-05,1.224,0.0953,0.0,0.066,70.34,34.3327887002378
Andritsos (1986),Glycerin (80%),0.001448,0.08,1220.0,Air,20.35,1.8e-05,1.224,0.0953,0.0,0.066,111.9,51.0652573743505
Andritsos (1986),Glycerin (80%),0.001311,0.08,1220.0,Air,24.8,1.8e-05,1.224,0.0953,0.0,0.066,169.4,71.3003527894918
Andritsos (1986),Glycerin (80%),0.004023,0.08,1220.0,Air,3.71,1.8e-05,1.224,0.0953,0.0,0.066,1.681,4.78948334563222
Andritsos (1986),Glycerin (80%),0.004237,0.08,1220.0,Air,5.75,1.8e-05,1.224,0.0953,0.0,0.066,10.78,8.38619617682646
Andritsos (1986),Glycerin (80%),0.00445,0.08,1220.0,Air,7.24,1.8e-05,1.224,0.0953,0.0,0.066,15.72,11.5873369631883
Andritsos (1986),Glycerin (80%),0.005182,0.08,1220.0,Air,8.87,1.8e-05,1.224,0.0953,0.0,0.066,27.98,15.9289529071068
Andritsos (1986),Glycerin (80%),0.003292,0.08,1220.0,Air,11.86,1.8e-05,1.224,0.0953,0.0,0.066,40.07,22.7176153800902
Andritsos (1986),Glycerin (80%),0.003292,0.08,1220.0,Air,14.34,1.8e-05,1.224,0.0953,0.0,0.066,60.05,30.6300215169795
Andritsos (1986),Glycerin (80%),0.003322,0.08,1220.0,Air,18.41,1.8e-05,1.224,0.0953,0.0,0.066,100.8,45.8758050914261
Andritsos (1986),Glycerin (80%),0.00381,0.08,1220.0,Air,24.65,1.8e-05,1.224,0.0953,0.0,0.066,191.6,75.0843009012277
Andritsos (1986),Glycerin (80%),0.01433,0.08,1220.0,Air,4.38,1.8e-05,1.224,0.0953,0.0,0.066,9.095,9.67139697083098
Andritsos (1986),Glycerin (80%),0.0157,0.08,1220.0,Air,6.33,1.8e-05,1.224,0.0953,0.0,0.066,19.57,14.5782078171022
Andritsos (1986),Glycerin (80%),0.02039,0.08,1220.0,Air,7.36,1.8e-05,1.224,0.0953,0.0,0.066,34.78,19.0461920038318
Andritsos (1986),Glycerin (80%),0.01847,0.08,1220.0,Air,8.53,1.8e-05,1.224,0.0953,0.0,0.066,37.95,21.6301246694186
Andritsos (1986),Glycerin (80%),0.02006,0.08,1220.0,Air,10.7,1.8e-05,1.224,0.0953,0.0,0.066,49.99,29.1491296174623
Andritsos (1986),Glycerin (80%),0.0189,0.08,1220.0,Air,14.04,1.8e-05,1.224,0.0953,0.0,0.066,80.74,40.6145320544331
Andritsos (1986),Glycerin (80%),0.01975,0.08,1220.0,Air,17.96,1.8e-05,1.224,0.0953,0.0,0.066,123.5,57.5485719560758
Payne et al.,Water,0.0828717071394456,0.0010586,998.820730162977,Natural Gas,8.05628435678321,1.6112459485449e-05,27.9494301252802,0.051,4.23,0.06,1357.3024536,652.585429063894
Payne et al.,Water,0.117101325305738,0.0009882,998.347652610435,Natural Gas,8.10814047013693,1.6216972532133e-05,27.8420972270834,0.051,4.23,0.06,814.38147216,781.395910817558
Payne et al.,Water,0.517948169621535,0.000925,997.827760217638,Natural Gas,7.96468191227809,1.61288403441365e-05,22.08573156035,0.051,4.23,0.06,1628.76294432,1987.49152133173
Payne et al.,Water,0.771967967592445,0.000868,997.276719873082,Natural Gas,4.95641653071613,1.62263452537646e-05,21.7266394907369,0.051,4.23,0.06,1447.78928384,1825.27501323277
Payne et al.,Water,0.555780905489543,0.000868,997.276719873082,Natural Gas,5.5824316629815,1.6206649599442e-05,21.1102809236238,0.051,4.23,0.06,1085.84196288,1513.89777041043
Payne et al.,Water,0.30446344579492,0.0009015,997.610174432762,Natural Gas,5.03760351699186,1.61284462832664e-05,20.7119995532189,0.051,4.23,0.06,814.38147216,858.941275265273
Payne et al.,Water,0.214385503252044,0.0008573,997.164216011128,Natural Gas,6.33577508982336,1.64058492565384e-05,26.4543079695241,0.051,4.23,0.06,633.40781168,860.450520110291
Payne et al.,Water,0.458496727543237,0.0007698,996.148405029611,Natural Gas,6.33553808087758,1.66175015543784e-05,26.9784843501173,0.051,4.23,0.06,904.8683024,1497.52871762716
Payne et al.,Water,0.454893609841522,0.0007272,995.607086763452,Natural Gas,3.16970441865367,1.67008814771131e-05,26.2851059410276,0.051,4.23,0.06,904.8683024,849.823724479616
Payne et al.,Water,0.208080047274043,0.00089,997.499833828125,Natural Gas,5.44117860822488,1.61120104989323e-05,19.4876495507942,0.051,4.23,0.06,361.94732096,675.421503531321
Payne et al.,Water,0.454893609841522,0.0008365,996.937999384769,Natural Gas,5.21574402746245,1.62253497937145e-05,19.6142371168758,0.051,4.23,0.06,723.89464192,1189.38120259446
Payne et al.,Water,0.970139441186771,0.000788,996.371973544373,Natural Gas,4.77853494388341,1.63616384927261e-05,20.4976824966708,0.051,4.23,0.06,1357.3024536,3114.85075186308
Payne et al.,Water,0.970139441186771,0.0007698,996.148405029611,Natural Gas,2.97329638245085,1.63718404320646e-05,19.4144233173742,0.051,4.23,0.06,904.8683024,1990.80108173014
Payne et al.,Water,0.972841779463058,0.0006959,995.202454312584,Natural Gas,1.87589812169802,1.65606109498178e-05,19.2003286646849,0.051,4.23,0.06,633.40781168,1375.29155560199
Payne et al.,Water,0.780975761846732,0.0006883,995.106586550273,Natural Gas,1.8739501037503,1.65812074974636e-05,19.1659607396761,0.051,4.23,0.06,542.92098144,1243.05583986322
Payne et al.,Water,0.778273423570446,0.0006883,995.106586550273,Natural Gas,5.50078449942921,1.66414182058919e-05,21.1469385939061,0.051,4.23,0.06,1085.84196288,1918.46925620458
Payne et al.,Water,0.778273423570446,0.0006959,995.202454312584,Natural Gas,4.18290277640855,1.65725155719227e-05,19.5972346835931,0.051,4.23,0.06,904.8683024,2530.02176226711
Payne et al.,Water,0.115299766454881,0.000925,997.827760217638,Natural Gas,5.69741899172249,1.65120217013218e-05,32.9212195793949,0.051,4.23,0.06,452.4341512,565.420010386262
Payne et al.,Water,0.379228138105507,0.0008573,997.164216011128,Natural Gas,3.35742241769549,1.65802805703821e-05,31.3247716460838,0.051,4.23,0.06,542.92098144,806.997798883523
Payne et al.,Water,0.46390140409581,0.0008573,997.164216011128,Natural Gas,3.21222660986138,1.65689211630748e-05,31.01716341388,0.051,4.23,0.06,723.89464192,915.630257454704
Payne et al.,Water,0.547673890660684,0.000879,997.388637640021,Natural Gas,4.0476434018682,1.64664231576866e-05,29.382942355756,0.051,4.23,0.06,1176.32879312,1232.66573490709
Payne et al.,Water,0.633247936076416,0.0008573,997.164216011128,Natural Gas,4.42027998788592,1.64596645058132e-05,27.992349130543,0.051,4.23,0.06,1538.27611408,1469.40102479834
Payne et al.,Water,0.633247936076416,0.0008573,997.164216011128,Natural Gas,2.49222413132137,1.64361981018923e-05,27.3258646274348,0.051,4.23,0.06,1176.32879312,1502.69631061474
Payne et al.,Water,0.298157989816919,0.0009621,998.144456005469,Natural Gas,5.88537655675929,1.60435479452016e-05,21.4806618945371,0.051,4.23,0.06,633.40781168,983.329316449658
Payne et al.,Water,0.298157989816919,0.0009015,997.610174432762,Natural Gas,4.8500563551124,1.61121541292294e-05,20.195490836181,0.051,4.23,0.06,542.92098144,814.445743848153
Payne et al.,Water,0.298157989816919,0.0008573,997.164216011128,Natural Gas,3.69142658421615,1.61854582361918e-05,19.7381948997418,0.051,4.23,0.06,361.94732096,654.912240015279
Payne et al.,Water,0.298157989816919,0.0008165,996.711101540728,Natural Gas,2.07204745178228,1.62101289273691e-05,17.6591211371091,0.051,4.23,0.06,452.4341512,1034.7083118565
Payne et al.,Water,0.298157989816919,0.0007972,996.484660474,Natural Gas,2.02449935243692,1.61950976150719e-05,15.616928387551,0.051,4.23,0.06,361.94732096,1008.12129443078
Payne et al.,Water,0.298157989816919,0.000788,996.371973544373,Natural Gas,1.9437033563332,1.61923375802077e-05,14.7279644605709,0.051,4.23,0.06,316.70390584,969.161662960342
Payne et al.,Water,0.298157989816919,0.000788,996.371973544373,Natural Gas,1.28734468541322,1.61895574600089e-05,14.6267413371305,0.051,4.23,0.06,316.70390584,712.758411565001
Payne et al.,Water,0.298157989816919,0.0007787,996.259838668918,Natural Gas,0.987523170795927,1.62066645919876e-05,14.4484766728732,0.051,4.23,0.06,361.94732096,629.822875325788
Payne et al.,Water,0.298157989816919,0.0007698,996.148405029611,Natural Gas,0.621452776969587,1.62265471001605e-05,14.371715962212,0.051,4.23,0.06,361.94732096,575.96009341404
Payne et al.,Water,0.373823461552934,0.0007523,995.928246020138,Natural Gas,0.625914273605451,1.62676747461302e-05,14.2692748370918,0.051,4.23,0.06,407.19073608,614.904394335571
Payne et al.,Water,0.373823461552934,0.000761,996.037823373272,Natural Gas,2.25964009812672,1.62518971685587e-05,14.4965758806622,0.051,4.23,0.06,316.70390584,1165.85244684063
Payne et al.,Water,0.373823461552934,0.000788,996.371973544373,Natural Gas,3.12576893332896,1.61909466474103e-05,14.6773528988507,0.051,4.23,0.06,452.4341512,664.790167141671
Payne et al.,Water,0.46390140409581,0.0010892,998.993511105967,Natural Gas,1.75680731986234,1.5891423058011e-05,22.8589558035536,0.051,4.23,0.06,452.4341512,1050.21699614839
Payne et al.,Water,0.46390140409581,0.0010155,998.543349026334,Natural Gas,1.56800946562937,1.59956689701852e-05,22.6944752814578,0.051,4.23,0.06,497.67756632,955.855246020957
Payne et al.,Water,0.461199065819524,0.0009494,998.040352215787,Natural Gas,1.22349577415219,1.60946432763538e-05,22.3769700219953,0.051,4.23,0.06,588.16439656,814.420350773252
Payne et al.,Water,0.461199065819524,0.000913,997.71952691992,Natural Gas,0.902401261033158,1.61560770651882e-05,22.2514142398007,0.051,4.23,0.06,588.16439656,718.991518414492
Payne et al.,Water,0.46390140409581,0.000868,997.276719873082,Natural Gas,0.542477471908437,1.62346144294909e-05,21.9834555603674,0.051,4.23,0.06,588.16439656,663.348372957306
Payne et al.,Water,0.544070772958969,0.0007972,996.484660474,Natural Gas,0.529824935643817,1.63793900336128e-05,21.7521502540889,0.051,4.23,0.06,678.6512268,698.250837527213
Payne et al.,Water,0.544070772958969,0.0007523,995.928246020138,Natural Gas,1.02166811365654,1.64830484393433e-05,21.6048879575685,0.051,4.23,0.06,588.16439656,782.353942611008
Payne et al.,Water,0.544070772958969,0.0007698,996.148405029611,Natural Gas,1.3835437114289,1.64438449235488e-05,21.7340687007487,0.051,4.23,0.06,497.67756632,900.733962178763
Payne et al.,Water,0.544070772958969,0.0007191,995.503081593625,Natural Gas,1.6372330820628,1.65677084417801e-05,21.5488475967429,0.051,4.23,0.06,588.16439656,990.627731447336
Payne et al.,Water,0.544070772958969,0.0007113,995.400866229229,Natural Gas,1.9045172366761,1.6592745757591e-05,21.6594431295951,0.051,4.23,0.06,588.16439656,1104.3355390157
Payne et al.,Water,0.633247936076416,0.0006959,995.202454312584,Natural Gas,1.79446558804193,1.66396201049068e-05,21.7802177875883,0.051,4.23,0.06,588.16439656,1111.25255079586
Payne et al.,Water,0.633247936076416,0.000681,995.013166190402,Natural Gas,1.46406402773786,1.66817569622123e-05,21.7518213876926,0.051,4.23,0.06,633.40781168,972.049059296677
Payne et al.,Water,0.633247936076416,0.000681,995.013166190402,Natural Gas,1.02469303954457,1.66817569622123e-05,21.7518213876926,0.051,4.23,0.06,588.16439656,826.340397465598
Payne et al.,Water,0.633247936076416,0.0006737,994.922361758504,Natural Gas,0.638394551736649,1.67004991527901e-05,21.6636774815923,0.051,4.23,0.06,633.40781168,744.534990845363
Payne et al.,Water,0.725127437470149,0.0007035,995.300602610884,Natural Gas,0.617710417223036,1.66208777163808e-05,21.8690460704725,0.051,4.23,0.06,633.40781168,790.711254674539
Payne et al.,Water,0.725127437470149,0.0006666,994.834343447751,Natural Gas,0.972236020418234,1.67207801876162e-05,21.6251073648305,0.051,4.23,0.06,588.16439656,862.581331114597
Payne et al.,Water,0.725127437470149,0.0006883,995.106586550273,Natural Gas,1.51806871992619,1.66080209152699e-05,20.0574007740796,0.051,4.23,0.06,588.16439656,1052.53845795393
Payne et al.,Water,0.725127437470149,0.0006883,995.106586550273,Natural Gas,1.8175376895581,1.66095241645325e-05,20.1069252204353,0.051,4.23,0.06,723.89464192,1180.25111417708
Payne et al.,Water,0.2098816061249,0.000913,997.71952691992,Natural Gas,7.66640154802391,1.63854639070435e-05,28.9268385117409,0.051,4.23,0.06,950.11171752,1060.67856126014
Payne et al.,Water,0.2098816061249,0.000868,997.276719873082,Natural Gas,6.30850939772351,1.63770841924161e-05,26.246602316233,0.051,4.23,0.06,633.40781168,843.928403855916
Payne et al.,Water,0.2098816061249,0.0008068,996.59775183211,Natural Gas,3.42577179290072,1.64265908134184e-05,23.8747802328327,0.051,4.23,0.06,407.19073608,490.888476959178
Payne et al.,Water,0.117101325305738,0.000788,996.371973544373,Natural Gas,3.16318407019095,1.64786193192753e-05,24.1417149405234,0.051,4.23,0.06,316.70390584,308.906594231092
Payne et al.,Water,0.118002104731167,0.0007438,995.819826872428,Natural Gas,6.98025002119567,1.65989957030968e-05,24.5247433717308,0.051,4.23,0.06,361.94732096,610.680654695802
Payne et al.,Water,0.118002104731167,0.0007523,995.928246020138,Natural Gas,9.11020539369977,1.65773011083635e-05,24.5190356355661,0.051,4.23,0.06,814.38147216,812.185298585125
Payne et al.,Water,0.118002104731167,0.0007035,995.300602610884,Natural Gas,1.9984624131229,1.66130797542045e-05,21.620534183308,0.051,4.23,0.06,226.2170756,267.510933297114
Payne et al.,Water,0.118002104731167,0.0006959,995.202454312584,Natural Gas,1.64950915616992,1.66303100345799e-05,21.4825382734071,0.051,4.23,0.06,588.16439656,287.156764210738
Payne et al.,Water,0.118002104731167,0.0006666,994.834343447751,Natural Gas,1.28745351269487,1.67146601067128e-05,21.4280676621897,0.051,4.23,0.06,180.97366048,331.1974244614
Payne et al.,Water,0.118002104731167,0.0006337,994.442118286715,Natural Gas,1.06236099900136,1.67937468828881e-05,20.5066183619012,0.051,4.23,0.06,361.94732096,528.849421566254
Payne et al.,Water,0.118002104731167,0.0006211,994.310877054081,Natural Gas,0.718808453676049,1.68417917555578e-05,20.6777648537225,0.051,4.23,0.06,271.46049072,477.963786225435
Payne et al.,Water,0.0765662511614443,0.0006211,994.310877054081,Natural Gas,0.709660873636052,1.68359031225993e-05,20.4831505962757,0.051,4.23,0.06,316.70390584,453.513923009365
Payne et al.,Water,0.0765662511614443,0.00064,994.513594126943,Natural Gas,1.01907544099143,1.67898037402055e-05,21.0808978274256,0.051,4.23,0.06,135.73024536,495.379442988116
Payne et al.,Water,0.0765662511614443,0.0007035,995.300602610884,Natural Gas,1.38378746445439,1.66365765919766e-05,22.3660698448014,0.051,4.23,0.06,135.73024536,328.204546295659
Payne et al.,Water,0.0765662511614443,0.0006666,994.834343447751,Natural Gas,2.14894845224016,1.67454769630793e-05,22.4132661753938,0.051,4.23,0.06,135.73024536,217.212714142213
Payne et al.,Water,0.0756654717360156,0.000681,995.013166190402,Natural Gas,6.74064833293544,1.67623246410638e-05,24.273055230357,0.051,4.23,0.06,226.2170756,448.788070673874
Payne et al.,Water,0.0756654717360156,0.000681,995.013166190402,Natural Gas,8.21316158593424,1.67932117778715e-05,25.2123384266437,0.051,4.23,0.06,361.94732096,567.825993729353
Payne et al.,Water,0.0828717071394456,0.0010586,998.820730162977,Natural Gas,8.11148539158416,1.61056030354838e-05,27.7592260639361,0.051,7.02,0.06,633.40781168,680.726373647058
Payne et al.,Water,0.117101325305738,0.0009882,998.347652610435,Natural Gas,8.15720637313322,1.62109837354299e-05,27.6746259655671,0.051,7.02,0.06,995.35513264,813.539891341332
Payne et al.,Water,0.517948169621535,0.000925,997.827760217638,Natural Gas,8.08616419120702,1.61180696105663e-05,21.7539271425419,0.051,7.02,0.06,1900.22343504,2064.56882544987
Payne et al.,Water,0.771967967592445,0.000868,997.276719873082,Natural Gas,5.0181048168811,1.62177843067292e-05,21.4595507783213,0.051,7.02,0.06,1809.7366048,1937.63165769151
Payne et al.,Water,0.555780905489543,0.000868,997.276719873082,Natural Gas,5.62899757969921,1.62011080575387e-05,20.9356459962751,0.051,7.02,0.06,1447.78928384,1597.00764573084
Payne et al.,Water,0.30446344579492,0.0009015,997.610174432762,Natural Gas,5.06285466244044,1.6125175628371e-05,20.6086978098113,0.051,7.02,0.06,995.35513264,920.501502806183
Payne et al.,Water,0.214385503252044,0.0008573,997.164216011128,Natural Gas,6.36786121221047,1.64012417293582e-05,26.3210110689025,0.051,7.02,0.06,723.89464192,905.303283329985
Payne et al.,Water,0.458496727543237,0.0007698,996.148405029611,Natural Gas,6.36169833571604,1.66136793226103e-05,26.8675447883038,0.051,7.02,0.06,1176.32879312,1564.69118166463
Payne et al.,Water,0.454893609841522,0.0007272,995.607086763452,Natural Gas,3.18544998894122,1.6696478293612e-05,26.1551795618515,0.051,7.02,0.06,723.89464192,960.862571655059
Payne et al.,Water,0.208080047274043,0.00089,997.499833828125,Natural Gas,5.45850720251859,1.6110097686277e-05,19.4257839966647,0.051,7.02,0.06,542.92098144,721.669133107254
Payne et al.,Water,0.454893609841522,0.0008365,996.937999384769,Natural Gas,5.24579807895647,1.62218936903766e-05,19.5018638833937,0.051,7.02,0.06,904.8683024,1264.70925232651
Payne et al.,Water,0.970139441186771,0.000788,996.371973544373,Natural Gas,4.83584870632879,1.63541038704412e-05,20.254747000414,0.051,7.02,0.06,1628.76294432,3329.98265495714
Payne et al.,Water,0.970139441186771,0.0007698,996.148405029611,Natural Gas,2.99664687760098,1.63672526651939e-05,19.2631420967193,0.051,7.02,0.06,1357.3024536,2208.54544711945
Payne et al.,Water,0.972841779463058,0.0006959,995.202454312584,Natural Gas,1.88368597067238,1.65582412019242e-05,19.1209474609032,0.051,7.02,0.06,1176.32879312,1620.71781781353
Payne et al.,Water,0.780975761846732,0.0006883,995.106586550273,Natural Gas,1.88075386450043,1.65791416369344e-05,19.096626514778,0.051,7.02,0.06,995.35513264,1473.65840770192
Payne et al.,Water,0.778273423570446,0.0006883,995.106586550273,Natural Gas,5.54755545880084,1.66359067954045e-05,20.9686505870254,0.051,7.02,0.06,1447.78928384,2020.41442295631
Payne et al.,Water,0.778273423570446,0.0006959,995.202454312584,Natural Gas,4.21061823822981,1.65686363839293e-05,19.4682402274479,0.051,7.02,0.06,1176.32879312,2721.11533868842
Payne et al.,Water,0.115299766454881,0.000925,997.827760217638,Natural Gas,5.71361506592511,1.65084751988548e-05,32.8278995868864,0.051,7.02,0.06,271.46049072,601.363932348454
Payne et al.,Water,0.379228138105507,0.0008573,997.164216011128,Natural Gas,3.36182415144534,1.65787633672187e-05,31.2837572151233,0.051,7.02,0.06,633.40781168,902.293696763911
Payne et al.,Water,0.46390140409581,0.0008573,997.164216011128,Natural Gas,3.21967710232958,1.65662771570221e-05,30.9453881596992,0.051,7.02,0.06,814.38147216,1024.60261545564
Payne et al.,Water,0.547673890660684,0.000879,997.388637640021,Natural Gas,4.06472807327953,1.64619621624239e-05,29.2594413721241,0.051,7.02,0.06,1176.32879312,1332.3652666169
