Paper's Reference [-],Fluid 1 [-],Fluid 1 Superficial Velocity [m/s],Fluid 1 Viscosity [Pa.s],Fluid 1 Density [kg/m³],Fluid 2 [-],Fluid 2 Superficial Velocity [m/s],Fluid 2 Viscosity [Pa.s],Fluid 2 Density [kg/m³],Internal Diameter [m],Duct Inclination [°],Interfacial Tension [N/m],Liquid Volumetric Fraction [-],Model Holdup Prediction [-]
Ottens et al. (2001),Water,0.0687,0.00098,998.0,Air,14.43,1.79e-05,1.202,0.052,1.0,0.0735,0.0152,0.0775379381756122
Ottens et al. (2001),Water,0.0891,0.00098,998.0,Air,14.45,1.79e-05,1.202,0.052,1.0,0.0735,0.0175,0.0961647283745947
Ottens et al. (2001),Water,0.1192,0.00098,998.0,Air,14.53,1.79e-05,1.202,0.052,1.0,0.0735,0.0219,0.111647957149196
Ottens et al. (2001),Water,0.1475,0.00098,998.0,Air,14.39,1.79e-05,1.205,0.052,1.0,0.0735,0.0248,0.124688542583482
Ottens et al. (2001),Water,0.0495,0.00098,998.0,Air,12.99,1.79e-05,1.197,0.052,2.0,0.0735,0.0142,0.0787007947684073
Ottens et al. (2001),Water,0.059,0.00098,998.0,Air,12.94,1.79e-05,1.198,0.052,2.0,0.0735,0.0159,0.0819190307142755
Ottens et al. (2001),Water,0.0692,0.00098,998.0,Air,12.93,1.79e-05,1.197,0.052,2.0,0.0735,0.0177,0.0847389407508875
Ottens et al. (2001),Water,0.0868,0.00098,998.0,Air,12.94,1.79e-05,1.199,0.052,2.0,0.0735,0.021,0.103196863328499
Ottens et al. (2001),Water,0.1201,0.00098,998.0,Air,12.91,1.79e-05,1.198,0.052,2.0,0.0735,0.0261,0.121749513104301
Ottens et al. (2001),Water,0.1474,0.00098,998.0,Air,12.89,1.79e-05,1.2,0.052,2.0,0.0735,0.03,0.134360944437346
Ottens et al. (2001),Water,0.0508,0.00098,998.0,Air,10.49,1.79e-05,1.197,0.052,2.0,0.0735,0.0251,0.090393520657851
Ottens et al. (2001),Water,0.0584,0.00098,998.0,Air,10.44,1.79e-05,1.198,0.052,2.0,0.0735,0.0269,0.0931235085122623
Ottens et al. (2001),Water,0.0686,0.00098,998.0,Air,10.47,1.79e-05,1.199,0.052,2.0,0.0735,0.0293,0.0958007067625021
Ottens et al. (2001),Water,0.0878,0.00098,998.0,Air,10.48,1.79e-05,1.198,0.052,2.0,0.0735,0.0342,0.116988261141252
Ottens et al. (2001),Water,0.12,0.00098,998.0,Air,10.42,1.79e-05,1.196,0.052,2.0,0.0735,0.0404,0.136432368971431
Ottens et al. (2001),Water,0.1462,0.00098,998.0,Air,10.44,1.79e-05,1.198,0.052,2.0,0.0735,0.0461,0.149124426130838
Ottens et al. (2001),Water,0.0496,0.00098,998.0,Air,8.996,1.79e-05,1.197,0.052,2.0,0.0735,0.0544,0.0994710834508483
Ottens et al. (2001),Water,0.058,0.00098,998.0,Air,8.965,1.79e-05,1.198,0.052,2.0,0.0735,0.058,0.102418126654544
Ottens et al. (2001),Water,0.0674,0.00098,998.0,Air,8.975,1.79e-05,1.195,0.052,2.0,0.0735,0.0606,0.105057146307458
Ottens et al. (2001),Water,0.0858,0.00098,998.0,Air,8.975,1.79e-05,1.197,0.052,2.0,0.0735,0.0658,0.126654615453803
Ottens et al. (2001),Water,0.0394,0.00098,998.0,Air,14.45,1.79e-05,1.205,0.052,2.0,0.0735,0.0159,0.0697409302784515
Ottens et al. (2001),Water,0.0452,0.00098,998.0,Air,14.46,1.79e-05,1.205,0.052,2.0,0.0735,0.017,0.0720544116017172
Ottens et al. (2001),Water,0.0536,0.00098,998.0,Air,14.47,1.79e-05,1.205,0.052,2.0,0.0735,0.0185,0.0749243152045764
Ottens et al. (2001),Water,0.0708,0.00098,998.0,Air,14.42,1.79e-05,1.205,0.052,2.0,0.0735,0.0222,0.0798060066600251
