Paper's Reference [-],Fluid 1 [-],Fluid 1 Superficial Velocity [m/s],Fluid 1 Viscosity [Pa.s],Fluid 1 Density [kg/m³],Fluid 2 [-],Fluid 2 Superficial Velocity [m/s],Fluid 2 Viscosity [Pa.s],Fluid 2 Density [kg/m³],Internal Diameter [m],Duct Inclination [°],Interfacial Tension [N/m],Liquid Volumetric Fraction [-],Model Holdup Prediction [-]
M. NÄDLER and D. MEWES,Oil,0.9,0.037,848.0,Air,0.06512,1.8e-05,1.224,0.059,0.0,0.0312,0.978,0.949334754709083
M. NÄDLER and D. MEWES,Oil,0.9,0.037,848.0,Air,0.56702,1.8e-05,1.224,0.059,0.0,0.0312,0.97553,0.79346690401246
M. NÄDLER and D. MEWES,Oil,0.9,0.037,848.0,Air,0.87315,1.8e-05,1.224,0.059,0.0,0.0312,0.95189,0.639973276639583
M. NÄDLER and D. MEWES,Oil,0.9,0.037,848.0,Air,1.17874,1.8e-05,1.224,0.059,0.0,0.0312,0.93069,0.577178076058021
M. NÄDLER and D. MEWES,Oil,0.9,0.037,848.0,Air,1.71909,1.8e-05,1.224,0.059,0.0,0.0312,0.93555,0.497824062545078
M. NÄDLER and D. MEWES,Oil,0.9,0.037,848.0,Air,3.41185,1.8e-05,1.224,0.059,0.0,0.0312,0.81,0.368879767541332
M. NÄDLER and D. MEWES,Oil,0.9,0.037,848.0,Air,5.09377,1.8e-05,1.224,0.059,0.0,0.0312,0.73251,0.309808864313162
M. NÄDLER and D. MEWES,Oil,0.9,0.037,848.0,Air,6.35141,1.8e-05,1.224,0.059,0.0,0.0312,0.5801,0.283226784831836
M. NÄDLER and D. MEWES,Oil,0.9,0.037,848.0,Air,7.02993,1.8e-05,1.224,0.059,0.0,0.0312,0.59473,0.272391037822624
M. NÄDLER and D. MEWES,Oil,0.9,0.037,848.0,Air,8.39577,1.8e-05,1.224,0.059,0.0,0.0312,0.49608,0.255612450976629
M. NÄDLER and D. MEWES,Oil,0.9,0.014,834.0,Air,0.62479,1.8e-05,1.224,0.059,0.0,0.0296,0.98612,0.706094509350229
M. NÄDLER and D. MEWES,Oil,0.9,0.014,834.0,Air,0.46326,1.8e-05,1.224,0.059,0.0,0.0296,0.99101,0.759387287983061
M. NÄDLER and D. MEWES,Oil,0.9,0.014,834.0,Air,0.85384,1.8e-05,1.224,0.059,0.0,0.0296,0.94863,0.644554424810855
M. NÄDLER and D. MEWES,Oil,0.9,0.014,834.0,Air,1.05805,1.8e-05,1.224,0.059,0.0,0.0296,0.93233,0.599990069970011
M. NÄDLER and D. MEWES,Oil,0.9,0.014,834.0,Air,2.15455,1.8e-05,1.224,0.059,0.0,0.0296,0.87198,0.452270021187515
M. NÄDLER and D. MEWES,Oil,0.9,0.014,834.0,Air,3.62323,1.8e-05,1.224,0.059,0.0,0.0296,0.76192,0.359147740875686
M. NÄDLER and D. MEWES,Oil,0.9,0.014,834.0,Air,5.4192,1.8e-05,1.224,0.059,0.0,0.0296,0.62333,0.301923208899962
M. NÄDLER and D. MEWES,Oil,0.9,0.014,834.0,Air,6.56279,1.8e-05,1.224,0.059,0.0,0.0296,0.53203,0.279637723937496
M. NÄDLER and D. MEWES,Oil,0.9,0.014,834.0,Air,7.39566,1.8e-05,1.224,0.059,0.0,0.0296,0.48473,0.267295066386022
M. NÄDLER and D. MEWES,Oil,0.9,0.014,834.0,Air,8.94143,1.8e-05,1.224,0.059,0.0,0.0296,0.38852,0.250846622712808
M. NÄDLER and D. MEWES,Oil,0.9,0.014,834.0,Air,0.40457,1.8e-05,1.224,0.059,0.0,0.0296,0.9845,0.781327656157337
Payne et al.,Water,0.454893609841522,0.0006959,995.202454312584,Natural Gas,3.08257841057643,1.67800238758246e-05,26.0965707432151,0.051,4.23,0.06,0.2225,0.29456157752369
Payne et al.,Water,0.211322853205586,0.0007354,995.712721422906,Natural Gas,2.93401444014071,1.67730487145266e-05,28.9859576166318,0.051,4.23,0.06,0.2199,0.215933699293632
Payne et al.,Water,0.297617522161661,0.000681,995.013166190402,Natural Gas,4.43950008916607,1.68063551443422e-05,25.6078260882381,0.051,4.23,0.06,0.201,0.200284606118259
Payne et al.,Water,0.77872381328316,0.0006666,994.834343447751,Natural Gas,4.057494403443,1.66546764265995e-05,19.4576706357814,0.051,4.23,0.06,0.2852,0.32686436253706
Payne et al.,Water,0.633968559616759,0.0008165,996.711101540728,Natural Gas,2.40838658235759,1.65152404169289e-05,27.1248171933116,0.051,4.23,0.06,0.3934,0.387471473793697
Payne et al.,Water,0.311579603255807,0.0008264,996.824565061029,Natural Gas,4.90779385560933,1.62729267051603e-05,20.4448316668929,0.051,4.23,0.06,0.1718,0.200606226304051
Payne et al.,Water,0.211322853205586,0.000975,998.24693076708,Natural Gas,2.6853380718398,1.64966637514397e-05,34.7369152987761,0.051,4.23,0.06,0.2294,0.221463547807437
Payne et al.,Water,0.211322853205586,0.0008468,997.051263025727,Natural Gas,4.63881028938172,1.66089592963795e-05,31.5227007721344,0.051,4.23,0.06,0.152,0.160141568359194
Payne et al.,Water,0.211322853205586,0.0007787,996.259838668918,Natural Gas,3.25901810362058,1.66685968291916e-05,29.0485107933639,0.051,4.23,0.06,0.1967,0.201757015283142
Payne et al.,Water,0.291672377953831,0.000913,997.71952691992,Natural Gas,0.577193916261364,1.63631655015335e-05,28.3058688120255,0.051,4.23,0.06,0.451,0.589264842433198
Payne et al.,Water,0.291672377953831,0.000879,997.388637640021,Natural Gas,0.548674851517687,1.64221510998195e-05,28.147932519437,0.051,4.23,0.06,0.4175,0.600004856390338
Payne et al.,Water,0.291672377953831,0.0007972,996.484660474,Natural Gas,0.495599968168196,1.65812429718539e-05,27.7859634947336,0.051,4.23,0.06,0.4372,0.62143593487655
Payne et al.,Water,0.291672377953831,0.0007272,995.607086763452,Natural Gas,0.413799032140836,1.67402075525953e-05,27.4344546798939,0.051,4.23,0.06,0.5214,0.658719851573793
Payne et al.,Water,0.207719735503871,0.0006596,994.749283127529,Natural Gas,0.347692098381002,1.69152734683356e-05,26.9464636468468,0.051,4.23,0.06,0.5669,0.666032570755209
Payne et al.,Water,0.411926431248571,0.0006148,994.251477610922,Natural Gas,0.610625704962886,1.70575312645886e-05,26.7610549397159,0.051,4.23,0.06,0.5506,0.613055980488611
Payne et al.,Water,0.411926431248571,0.0006148,994.251477610922,Natural Gas,0.447479423224663,1.70542746148527e-05,26.6639186241453,0.051,4.23,0.06,0.5506,0.676838178597899
Payne et al.,Water,0.411926431248571,0.0006527,994.667354352,Natural Gas,1.11751030044523,1.68075681542042e-05,23.0209319761055,0.051,4.23,0.06,0.3067,0.485800933723958
Payne et al.,Water,0.411926431248571,0.0006464,994.588732368667,Natural Gas,0.899440541721631,1.68338936167179e-05,23.1761560145814,0.051,4.23,0.06,0.4982,0.530996339634841
Payne et al.,Water,0.411926431248571,0.0006596,994.749283127529,Natural Gas,0.906661510615808,1.67921775265086e-05,23.2093628491089,0.051,4.23,0.06,0.4948,0.529310005390528
Payne et al.,Water,0.536053836072653,0.0008573,997.164216011128,Natural Gas,7.07697228994392,1.6567032335139e-05,30.9658953751794,0.051,4.23,0.06,0.1787,0.20258454776384
Payne et al.,Water,0.536053836072653,0.0007354,995.712721422906,Natural Gas,6.10372157695785,1.67659858327794e-05,28.7857092047725,0.051,4.23,0.06,0.219,0.219974455168997
Payne et al.,Water,0.536053836072653,0.000681,995.013166190402,Natural Gas,4.64602778853463,1.6868190278733e-05,27.4369565231123,0.051,4.23,0.06,0.2483,0.254253759260151
Payne et al.,Water,0.536053836072653,0.0006464,994.588732368667,Natural Gas,3.69755517014771,1.69364025175261e-05,26.3120418178228,0.051,4.23,0.06,0.2895,0.28686378722439
Payne et al.,Water,0.520740585840364,0.0006211,994.310877054081,Natural Gas,2.7966276643822,1.69846276967146e-05,25.2025463393607,0.051,4.23,0.06,0.3505,0.343311436707495
Payne et al.,Water,0.53218048454331,0.0006148,994.251477610922,Natural Gas,1.38451808710147,1.69964857138403e-05,24.9154649438734,0.051,4.23,0.06,0.4226,0.471579889098084
Payne et al.,Water,0.119173117984225,0.0006959,995.202454312584,Natural Gas,1.2722231290082,1.67435850304143e-05,25.0050791912175,0.051,4.23,0.06,0.329,0.393391493276134
Payne et al.,Water,0.11872272827151,0.0006959,995.202454312584,Natural Gas,1.16000429790925,1.66505443002632e-05,22.127510554133,0.051,4.23,0.06,0.3419,0.387173618467957
Payne et al.,Water,0.118542572386424,0.00064,994.513594126943,Natural Gas,0.822395912539188,1.68033533109043e-05,21.5211021904112,0.051,4.23,0.06,0.378,0.450968441486636
Payne et al.,Water,0.256722136247196,0.0006021,994.146049016749,Natural Gas,0.827065603810986,1.69291625235068e-05,21.4404207731499,0.051,4.23,0.06,0.3049,0.501571895789582
Payne et al.,Water,0.454893609841522,0.0007113,995.400866229229,Natural Gas,3.08914188436185,1.67354152157918e-05,26.0411235788005,0.051,7.02,0.06,0.2448,0.307528715842065
Payne et al.,Water,0.211322853205586,0.000781,996.287812500991,Natural Gas,2.91495354932647,1.66677761383525e-05,29.1754968885027,0.051,7.02,0.06,0.2413,0.237757628533972
Payne et al.,Water,0.297617522161661,0.0007035,995.300602610884,Natural Gas,4.4285269494447,1.67443728062306e-05,25.6712779440887,0.051,7.02,0.06,0.204,0.209009869240596
Payne et al.,Water,0.77872381328316,0.0006791,994.990213219575,Natural Gas,4.08884635001656,1.6612463715728e-05,19.3084755333006,0.051,7.02,0.06,0.3385,0.326923462610004
Payne et al.,Water,0.633968559616759,0.0008365,996.937999384769,Natural Gas,2.41310907287677,1.64703775604301e-05,27.071733520688,0.051,7.02,0.06,0.3993,0.388714810507689
Payne et al.,Water,0.311579603255807,0.0008653,997.248643529041,Natural Gas,4.90753480465768,1.61911232224556e-05,20.4459108753571,0.051,7.02,0.06,0.1684,0.208444203624627
Payne et al.,Water,0.211322853205586,0.0009815,998.297518491472,Natural Gas,2.68886827209538,1.64842245987138e-05,34.6913093951554,0.051,7.02,0.06,0.2396,0.242330657302082
Payne et al.,Water,0.211322853205586,0.0008546,997.136014486836,Natural Gas,4.64557313218546,1.65912497961769e-05,31.4768112631319,0.051,7.02,0.06,0.1553,0.166736078318616
Payne et al.,Water,0.211322853205586,0.000814,996.682747823904,Natural Gas,3.2465838982248,1.65923763022037e-05,29.1597647023861,0.051,7.02,0.06,0.2022,0.218596659579073
Payne et al.,Water,0.291672377953831,0.0009882,998.347652610435,Natural Gas,0.572286058377761,1.62423915819881e-05,28.5486166116053,0.051,7.02,0.06,0.5182,0.593987234309739
Payne et al.,Water,0.291672377953831,0.0009494,998.040352215787,Natural Gas,0.544043939305162,1.63013843341537e-05,28.3875282488336,0.051,7.02,0.06,0.3966,0.604699378907692
Payne et al.,Water,0.291672377953831,0.0008365,996.937999384769,Natural Gas,0.49331732456659,1.64999079249342e-05,27.9145327718037,0.051,7.02,0.06,0.4826,0.625277459532325
Payne et al.,Water,0.291672377953831,0.0007833,996.315827812576,Natural Gas,0.41006148219163,1.66098467977807e-05,27.6845089989372,0.051,7.02,0.06,0.6041,0.663352232037052
Payne et al.,Water,0.207719735503871,0.0007054,995.32547662182,Natural Gas,0.34477374380061,1.67899612481691e-05,27.1745533347164,0.051,7.02,0.06,0.5954,0.670911766150679
Payne et al.,Water,0.411926431248571,0.0006684,994.856077456202,Natural Gas,0.603425300238635,1.68932427332952e-05,27.0803826615361,0.051,7.02,0.06,0.5442,0.617987387097864
Payne et al.,Water,0.411926431248571,0.0006464,994.588732368667,Natural Gas,0.444970284731414,1.69532956331637e-05,26.8142735284982,0.051,7.02,0.06,0.5242,0.680267518410308
Payne et al.,Water,0.411926431248571,0.0006883,995.106586550273,Natural Gas,1.11174579941108,1.67042472210586e-05,23.1402975597252,0.051,7.02,0.06,0.6076,0.489237368138853
Payne et al.,Water,0.411926431248571,0.0006997,995.251253759316,Natural Gas,0.890789821942836,1.66804444262448e-05,23.4012264254607,0.051,7.02,0.06,0.4635,0.535486209354501
Payne et al.,Water,0.411926431248571,0.0007132,995.42624344779,Natural Gas,0.898309779504457,1.66436256816391e-05,23.4251440441978,0.051,7.02,0.06,0.5416,0.533710140773065
Payne et al.,Water,0.536053836072653,0.000868,997.276719873082,Natural Gas,7.12282253459025,1.65383103334957e-05,30.7665651417291,0.051,7.02,0.06,0.1606,0.204672245354078
Payne et al.,Water,0.536053836072653,0.000748,995.873881989686,Natural Gas,6.14055158515588,1.6727919143253e-05,28.6130573035067,0.051,7.02,0.06,0.1779,0.223139158140913
Payne et al.,Water,0.536053836072653,0.0007093,995.375610986822,Natural Gas,4.64208100801651,1.67891119243777e-05,27.4602839155673,0.051,7.02,0.06,0.2491,0.26065733585274
Payne et al.,Water,0.536053836072653,0.0006666,994.834343447751,Natural Gas,3.69338573997749,1.687357466538e-05,26.3417452467953,0.051,7.02,0.06,0.2873,0.296266249705193
Payne et al.,Water,0.520740585840364,0.0006579,994.728500534732,Natural Gas,2.7790801276146,1.68675098759267e-05,25.3616790696957,0.051,7.02,0.06,0.3602,0.345847876195087
Payne et al.,Water,0.53218048454331,0.0006322,994.424842677154,Natural Gas,1.38255082914342,1.69391806276027e-05,24.9509176344046,0.051,7.02,0.06,0.3897,0.473899044544056
Payne et al.,Water,0.119173117984225,0.0007354,995.712721422906,Natural Gas,1.26332312785405,1.66422969654547e-05,25.1812377913053,0.051,7.02,0.06,0.3081,0.375888313950917
Payne et al.,Water,0.11872272827151,0.0007523,995.928246020138,Natural Gas,1.1480176922377,1.65069800077063e-05,22.3585468398093,0.051,7.02,0.06,0.3142,0.392247765121794
Payne et al.,Water,0.118542572386424,0.0007035,995.300602610884,Natural Gas,0.811617047151774,1.6618924995779e-05,21.8069180986814,0.051,7.02,0.06,0.3576,0.457242323533122
Payne et al.,Water,0.256722136247196,0.0006773,994.967426385569,Natural Gas,0.814103348097542,1.6693441740706e-05,21.7817978443963,0.051,7.02,0.06,0.4999,0.507864432054615
Payne et al.,Water,0.454893609841522,0.0007438,995.819826872428,Natural Gas,3.10249734746099,1.66459780695007e-05,25.9290231557972,0.051,8.24,0.06,0.2483,0.313024277628577
Payne et al.,Water,0.211322853205586,0.0008872,997.472109782692,Natural Gas,2.87648294093798,1.64569391604995e-05,29.5656953142827,0.051,8.24,0.06,0.2445,0.249849833150978
Payne et al.,Water,0.297617522161661,0.0007523,995.928246020138,Natural Gas,4.40638834622885,1.66201741012883e-05,25.8002557353754,0.051,8.24,0.06,0.219,0.213574918303981
Payne et al.,Water,0.77872381328316,0.0007054,995.32547662182,Natural Gas,4.1536417399266,1.652779670675e-05,19.0072699216749,0.051,8.24,0.06,0.3181,0.32519161822153
Payne et al.,Water,0.633968559616759,0.000879,997.388637640021,Natural Gas,2.42271627687189,1.6380435882798e-05,26.964381426298,0.051,8.24,0.06,0.3096,0.388680220422649
Payne et al.,Water,0.311579603255807,0.0009525,998.066524056065,Natural Gas,4.90700581964629,1.60269122746553e-05,20.4481149853164,0.051,8.24,0.06,0.1718,0.212172834659617
Payne et al.,Water,0.211322853205586,0.000995,998.397317858042,Natural Gas,2.69597677525954,1.64593251763077e-05,34.599838546865,0.051,8.24,0.06,0.2473,0.252684502272527
Payne et al.,Water,0.211322853205586,0.0008707,997.304759578921,Natural Gas,4.65921508443141,1.65557914185726e-05,31.3846487103574,0.051,8.24,0.06,0.1539,0.169646335456457
Payne et al.,Water,0.211322853205586,0.0008929,997.527504392411,Natural Gas,3.22148633577611,1.64397224399335e-05,29.3869390372514,0.051,8.24,0.06,0.1888,0.227608964506075
Payne et al.,Water,0.291672377953831,0.0011719,999.376390898895,Natural Gas,0.56238892192677,1.60007099498449e-05,29.0510261418713,0.051,8.24,0.06,0.4163,0.598865177280303
Payne et al.,Water,0.291672377953831,0.0011212,999.155517488206,Natural Gas,0.534705288686724,1.6059669435441e-05,28.8833176375789,0.051,8.24,0.06,0.5551,0.60953117890547
Payne et al.,Water,0.291672377953831,0.000925,997.827760217638,Natural Gas,0.488714238297299,1.63370129766916e-05,28.1774532935451,0.051,8.24,0.06,0.5277,0.628401424055242
Payne et al.,Water,0.291672377953831,0.000919,997.773791602579,Natural Gas,0.402524604608106,1.63487050792738e-05,28.2028742190909,0.051,8.24,0.06,0.5796,0.668224855253919
Payne et al.,Water,0.207719735503871,0.000814,996.682747823904,Natural Gas,0.338888708621016,1.65388122759643e-05,27.6464581173081,0.051,8.24,0.06,0.5494,0.675643228373263
Payne et al.,Water,0.411926431248571,0.0008044,996.569449092421,Natural Gas,0.588905911389367,1.65638303413742e-05,27.7480455232014,0.051,8.24,0.06,0.5107,0.624077837054675
Payne et al.,Water,0.411926431248571,0.0007191,995.503081593625,Natural Gas,0.439903555415391,1.67508491847455e-05,27.1231154646503,0.051,8.24,0.06,0.523,0.683468493102364
Payne et al.,Water,0.411926431248571,0.0007698,996.148405029611,Natural Gas,1.10008628033823,1.64969482506828e-05,23.3855553595643,0.051,8.24,0.06,0.4267,0.49237963276989
Payne et al.,Water,0.411926431248571,0.0008314,996.88129475093,Natural Gas,0.873294191989357,1.63723410214947e-05,23.8700480456581,0.051,8.24,0.06,0.3115,0.540684126836565
Payne et al.,Water,0.411926431248571,0.0008442,997.022970797544,Natural Gas,0.88141843688182,1.63453958458502e-05,23.8740592443779,0.051,8.24,0.06,0.4191,0.538724324734959
Payne et al.,Water,0.536053836072653,0.00089,997.499833828125,Natural Gas,7.21685835043537,1.64807545681469e-05,30.3656761518989,0.051,8.24,0.06,0.152,0.20477429032532
Payne et al.,Water,0.536053836072653,0.0007742,996.204024809846,Natural Gas,6.21618463770542,1.66515830637541e-05,28.2649188564097,0.051,8.24,0.06,0.186,0.22373489461119
Payne et al.,Water,0.536053836072653,0.000772,996.176189481405,Natural Gas,4.63404629664538,1.66304731402286e-05,27.5078957522445,0.051,8.24,0.06,0.2332,0.263913034922462
Payne et al.,Water,0.536053836072653,0.0007113,995.400866229229,Natural Gas,3.68494072724235,1.67476204291008e-05,26.4021142976271,0.051,8.24,0.06,0.2615,0.300887141793016
Payne et al.,Water,0.520740585840364,0.0007459,995.846814601349,Natural Gas,2.74357378368641,1.6632542194139e-05,25.6899007872961,0.051,8.24,0.06,0.371,0.348488431550478
Payne et al.,Water,0.53218048454331,0.0006684,994.856077456202,Natural Gas,1.37857563137887,1.68243236982092e-05,25.0228649615923,0.051,8.24,0.06,0.4899,0.475317987457029
Payne et al.,Water,0.119173117984225,0.0008264,996.824565061029,Natural Gas,1.24541653870559,1.64393248623168e-05,25.5432934292103,0.051,8.24,0.06,0.3087,0.379593814173197
Payne et al.,Water,0.11872272827151,0.00089,997.499833828125,Natural Gas,1.12388213409094,1.62188929661702e-05,22.8387003994757,0.051,8.24,0.06,0.2851,0.397347006395463
Payne et al.,Water,0.118542572386424,0.000868,997.276719873082,Natural Gas,0.789874006370286,1.62483383955364e-05,22.4072020752577,0.051,8.24,0.06,0.3965,0.464141335914401
Payne et al.,Water,0.256722136247196,0.0008845,997.444334341285,Natural Gas,0.787822893722,1.6218972228627e-05,22.5084021980252,0.051,8.24,0.06,0.3106,0.515949571543294
G.H. Abdul-Majeed,Kerosene,0.329,0.00135465651198144,791.1985765632,Air,1.246,1.93845702628884e-05,10.8884119331166,0.0508,0.0,0.023824408,0.4034,0.437033584993146
G.H. Abdul-Majeed,Kerosene,0.032,0.00134107016456975,790.8387482112,Air,0.366,1.94074881809967e-05,10.1210832363464,0.0508,0.0,0.023758528,0.5411,0.39398275998106
G.H. Abdul-Majeed,Kerosene,0.121,0.00132494629362473,790.4069541888,Air,20.66,1.94349662880077e-05,4.11613798625674,0.0508,0.0,0.023679472,0.035,0.0631075146021314
G.H. Abdul-Majeed,Kerosene,1.531,0.00145076633758937,793.6454093568,Air,0.892,1.92282556750777e-05,9.87483373987287,0.0508,0.0,0.024272392,0.518,0.711913680338769
G.H. Abdul-Majeed,Kerosene,0.982,0.00140188803639196,792.42199296,Air,0.751,1.93065162943911e-05,9.66329937761454,0.0508,0.0,0.0240484,0.5051,0.679860925877425
G.H. Abdul-Majeed,Kerosene,0.104,0.00135465651198144,791.1985765632,Air,7.882,1.93845702628884e-05,5.18131462840469,0.0508,0.0,0.023824408,0.0945,0.0972527399207933
G.H. Abdul-Majeed,Kerosene,0.006,0.00173588249286137,800.0503540224,Air,0.344,1.88151112887487e-05,10.6986276155823,0.0508,0.0,0.025445056,0.311,0.220804274269335
G.H. Abdul-Majeed,Kerosene,0.402,0.0015319231785374,795.5884824576,Air,0.958,1.91035313042308e-05,10.7170479228222,0.0508,0.0,0.024628144,0.4545,0.51072034452459
G.H. Abdul-Majeed,Kerosene,0.701,0.00141894824621852,792.8537869824,Air,0.685,1.9278918565965e-05,11.1943612641174,0.0508,0.0,0.024127456,0.5145,0.651395493553084
G.H. Abdul-Majeed,Kerosene,0.12,0.00169439191711838,799.1867659776,Air,0.653,1.88711559179209e-05,9.7239444028338,0.0508,0.0,0.025286944,0.5188,0.549804653377936
G.H. Abdul-Majeed,Kerosene,0.095,0.001465464014114,794.0052377088,Air,0.413,1.9205198320107e-05,9.57842946219121,0.0508,0.0,0.024338272,0.6061,0.589983094581451
G.H. Abdul-Majeed,Kerosene,0.102,0.0017150117390186,799.61856,Air,7.061,1.88431469844983e-05,5.53404962616906,0.0508,0.0,0.025366,0.104,0.108041232507853
G.H. Abdul-Majeed,Kerosene,1.0,0.00140188803639196,792.42199296,Air,3.148,1.93065162943911e-05,10.7954884438114,0.0508,0.0,0.0240484,0.2991,0.393746436849104
G.H. Abdul-Majeed,Kerosene,0.401,0.00134107016456975,790.8387482112,Air,18.992,1.94074881809967e-05,4.44572978495185,0.0508,0.0,0.023758528,0.0771,0.135372907085291
G.H. Abdul-Majeed,Kerosene,0.989,0.00155056584484567,796.02027648,Air,2.72,1.90757429665583e-05,10.2770303706185,0.0508,0.0,0.0247072,0.3494,0.418524006887279
G.H. Abdul-Majeed,Kerosene,0.112,0.0018552953941355,802.4252211456,Air,12.334,1.86604337580757e-05,4.55503616941455,0.0508,0.0,0.025879864,0.0531,0.0887615263871864
G.H. Abdul-Majeed,Kerosene,1.2,0.00141894824621852,792.8537869824,Air,1.4,1.9278918565965e-05,9.74189446707775,0.0508,0.0,0.024127456,0.5406,0.582924394481099
G.H. Abdul-Majeed,Kerosene,0.555,0.00140188803639196,792.42199296,Air,16.621,1.93065162943911e-05,4.71079343331261,0.0508,0.0,0.0240484,0.0714,0.167539347724583
G.H. Abdul-Majeed,Kerosene,0.7,0.00145076633758937,793.6454093568,Air,3.085,1.92282556750777e-05,11.1793322746684,0.0508,0.0,0.024272392,0.2742,0.354761157910996
G.H. Abdul-Majeed,Kerosene,0.301,0.00198292281514202,804.8000882688,Air,10.291,1.85049341431182e-05,5.06799939059225,0.0508,0.0,0.026314672,0.1191,0.154400801607583
G.H. Abdul-Majeed,Kerosene,0.35,0.0017150117390186,799.61856,Air,6.149,1.88431469844983e-05,9.91471298379228,0.0508,0.0,0.025366,0.1527,0.192545072986028
G.H. Abdul-Majeed,Kerosene,0.031,0.00141894824621852,792.8537869824,Air,0.787,1.9278918565965e-05,9.51480940137745,0.0508,0.0,0.024127456,0.3364,0.258817850557147
G.H. Abdul-Majeed,Kerosene,0.128,0.00162088439885956,797.6035212288,Air,0.733,1.8973627386977e-05,9.57000272900662,0.0508,0.0,0.024997072,0.4619,0.540022391182211
G.H. Abdul-Majeed,Kerosene,0.004,0.0017150117390186,799.61856,Air,0.315,1.88431469844983e-05,10.3036028405723,0.0508,0.0,0.025366,0.3527,0.200771614124444
G.H. Abdul-Majeed,Kerosene,0.102,0.00148329790877965,794.4370317312,Air,0.459,1.9177505692973e-05,9.61211939670593,0.0508,0.0,0.024417328,0.5225,0.583510084617729
G.H. Abdul-Majeed,Kerosene,0.109,0.00135465651198144,791.1985765632,Air,1.084,1.93845702628884e-05,7.06552805152522,0.0508,0.0,0.023824408,0.3655,0.452736406068868
G.H. Abdul-Majeed,Kerosene,1.321,0.00151655895865764,795.2286541056,Air,1.951,1.91266682480763e-05,7.66589637447416,0.0508,0.0,0.024562264,0.402,0.52890352398295
G.H. Abdul-Majeed,Kerosene,0.71,0.00169439191711838,799.1867659776,Air,1.064,1.88711559179209e-05,8.47153488963268,0.0508,0.0,0.025286944,0.4617,0.560999058125546
G.H. Abdul-Majeed,Kerosene,0.002,0.00160462795424624,797.2436928768,Air,0.196,1.89968666142134e-05,5.90716002949575,0.0508,0.0,0.024931192,0.3636,0.249708084746654
G.H. Abdul-Majeed,Kerosene,0.991,0.00138503294381341,791.9901989376,Air,1.022,1.9334088280962e-05,7.64073230264732,0.0508,0.0,0.023969344,0.4718,0.618734091520033
G.H. Abdul-Majeed,Kerosene,1.01,0.00165723064900783,798.3951436032,Air,6.612,1.89224363298443e-05,5.45646668642339,0.0508,0.0,0.025142008,0.2138,0.287781836219293
G.H. Abdul-Majeed,Kerosene,0.055,0.00148329790877965,794.4370317312,Air,0.591,1.9177505692973e-05,7.18955047419754,0.0508,0.0,0.024417328,0.4503,0.438543125893813
G.H. Abdul-Majeed,Kerosene,0.111,0.00158533529176475,796.8118988544,Air,0.621,1.902472947232e-05,7.26558161204357,0.0508,0.0,0.024852136,0.5205,0.567570962994966
G.H. Abdul-Majeed,Kerosene,0.112,0.00169439191711838,799.1867659776,Air,0.993,1.88711559179209e-05,7.09388442511145,0.0508,0.0,0.025286944,0.4126,0.481468022845801
G.H. Abdul-Majeed,Kerosene,1.0,0.00180003106935023,801.3457360896,Air,3.383,1.87308429961335e-05,10.9974612781209,0.0508,0.0,0.025682224,0.3214,0.38136924647207
G.H. Abdul-Majeed,Kerosene,1.042,0.00145076633758937,793.6454093568,Air,1.203,1.92282556750777e-05,7.04346645591166,0.0508,0.0,0.024272392,0.4341,0.592345935352444
G.H. Abdul-Majeed,Kerosene,0.121,0.00183298892256507,801.9934271232,Air,13.011,1.86886177790154e-05,5.46711250970612,0.0508,0.0,0.025800808,0.0621,0.0848063176963853
G.H. Abdul-Majeed,Kerosene,0.095,0.00135465651198144,791.1985765632,Air,0.634,1.93845702628884e-05,7.69722966158875,0.0508,0.0,0.023824408,0.5046,0.523958606380043
G.H. Abdul-Majeed,Kerosene,0.521,0.00135465651198144,791.1985765632,Air,15.82,1.93845702628884e-05,4.91120773306718,0.0508,0.0,0.023824408,0.103,0.165119467352732
G.H. Abdul-Majeed,Kerosene,0.045,0.00148329790877965,794.4370317312,Air,22.067,1.9177505692973e-05,3.83794349248735,0.0508,0.0,0.024417328,0.0159,0.0477116000724622
G.H. Abdul-Majeed,Kerosene,0.311,0.00138503294381341,791.9901989376,Air,13.023,1.9334088280962e-05,5.59810349182696,0.0508,0.0,0.023969344,0.0979,0.137538956774249
G.H. Abdul-Majeed,Kerosene,0.41,0.0015319231785374,795.5884824576,Air,11.545,1.91035313042308e-05,6.14698713385212,0.0508,0.0,0.024628144,0.1119,0.165193448562046
G.H. Abdul-Majeed,Kerosene,0.306,0.00155056584484567,796.02027648,Air,10.925,1.90757429665583e-05,6.37346643042418,0.0508,0.0,0.0247072,0.1135,0.145741747566152
G.H. Abdul-Majeed,Kerosene,0.0062,0.00145076633758937,793.6454093568,Air,15.712,1.92282556750777e-05,4.13614102941806,0.0508,0.0,0.024272392,0.0092,0.0282347593078766
G.H. Abdul-Majeed,Kerosene,0.035,0.00137114194001662,791.6303705856,Air,15.821,1.93570453154249e-05,4.19043334733163,0.0508,0.0,0.023903464,0.0303,0.0511830072424818
G.H. Abdul-Majeed,Kerosene,1.825,0.00169439191711838,799.1867659776,Air,33.264,1.88711559179209e-05,5.98928180040524,0.0508,0.0,0.025286944,0.092,0.206910384658954
