Paper's Reference [-],Fluid 1 [-],Fluid 1 Superficial Velocity [m/s],Fluid 1 Viscosity [Pa.s],Fluid 1 Density [kg/m³],Fluid 2 [-],Fluid 2 Superficial Velocity [m/s],Fluid 2 Viscosity [Pa.s],Fluid 2 Density [kg/m³],Internal Diameter [m],Duct Inclination [°],Interfacial Tension [N/m],Model Prediction [-],Flow Pattern [-],Flow Pattern Shoham [-],Unified Flow Pattern [-]
Kokal and Stanislav (1989),Oil,0.061768855,0.007,858.0,Air,0.241303996,1.8e-05,1.2,0.0512,-1.0,0.031,Stratified,Stratified,Smooth Stratified,Stratified
Kokal and Stanislav (1989),Oil,0.030080193,0.007,858.0,Air,0.241891284,1.8e-05,1.2,0.0512,-1.0,0.031,Stratified,Stratified,Smooth Stratified,Stratified
Kokal and Stanislav (1989),Oil,0.209747229,0.007,858.0,Air,0.244809593,1.8e-05,1.2,0.0512,-1.0,0.031,Stratified,Stratified,Smooth Stratified,Stratified
Kokal and Stanislav (1989),Oil,0.124056313,0.007,858.0,Air,0.435897385,1.8e-05,1.2,0.0512,-1.0,0.031,Stratified,Stratified,Smooth Stratified,Stratified
Kokal and Stanislav (1989),Oil,0.062088299,0.007,858.0,Air,0.436917897,1.8e-05,1.2,0.0512,-1.0,0.031,Stratified,Stratified,Smooth Stratified,Stratified
Kokal and Stanislav (1989),Oil,0.030533425,0.007,858.0,Air,0.437966777,1.8e-05,1.2,0.0512,-1.0,0.031,Stratified,Stratified,Smooth Stratified,Stratified
Kokal and Stanislav (1989),Oil,0.213652639,0.007,858.0,Air,0.451545839,1.8e-05,1.2,0.0512,-1.0,0.031,Stratified,Stratified,Smooth Stratified,Stratified
Kokal and Stanislav (1989),Oil,0.030365736,0.007,858.0,Air,0.919925927,1.8e-05,1.2,0.0512,-1.0,0.031,Stratified,Stratified,Smooth Stratified,Stratified
Kokal and Stanislav (1989),Oil,0.124173752,0.007,858.0,Air,0.924092153,1.8e-05,1.2,0.0512,-1.0,0.031,Stratified,Stratified,Smooth Stratified,Stratified
Kokal and Stanislav (1989),Oil,0.062270221,0.007,858.0,Air,0.909222887,1.8e-05,1.2,0.0512,-1.0,0.031,Stratified,Stratified,Smooth Stratified,Stratified
Kokal and Stanislav (1989),Oil,0.03023636,0.007,858.0,Air,1.76106256,1.8e-05,1.2,0.0512,-1.0,0.031,Stratified,Stratified,Smooth Stratified,Stratified
Kokal and Stanislav (1989),Oil,0.062943825,0.007,858.0,Air,1.823115608,1.8e-05,1.2,0.0512,-1.0,0.031,Stratified,Stratified,Smooth Stratified,Stratified
Kokal and Stanislav (1989),Oil,0.356598508,0.007,858.0,Air,0.130730714,1.8e-05,1.2,0.0512,-1.0,0.031,Stratified,Stratified,Smooth Stratified,Stratified
Kokal and Stanislav (1989),Oil,0.030302658,0.007,858.0,Air,2.825373974,1.8e-05,1.2,0.0512,-1.0,0.031,Stratified,Stratified,Smooth Stratified,Stratified
Kokal and Stanislav (1989),Oil,1.30170358,0.007,858.0,Air,0.082948734,1.8e-05,1.2,0.0512,-1.0,0.031,Intermittent,Dispersed Bubbles,Dispersed Bubbles,Dispersed
Kokal and Stanislav (1989),Oil,3.041289294,0.007,858.0,Air,0.085838053,1.8e-05,1.2,0.0512,-1.0,0.031,Dispersed,Dispersed Bubbles,Dispersed Bubbles,Dispersed
Kokal and Stanislav (1989),Oil,2.161561398,0.007,858.0,Air,0.087546427,1.8e-05,1.2,0.0512,-1.0,0.031,Intermittent,Dispersed Bubbles,Dispersed Bubbles,Dispersed
Kokal and Stanislav (1989),Oil,2.200805439,0.007,858.0,Air,0.132894746,1.8e-05,1.2,0.0512,-1.0,0.031,Intermittent,Dispersed Bubbles,Dispersed Bubbles,Dispersed
Kokal and Stanislav (1989),Oil,3.039322881,0.007,858.0,Air,0.145653904,1.8e-05,1.2,0.0512,-1.0,0.031,Dispersed,Dispersed Bubbles,Dispersed Bubbles,Dispersed
Kokal and Stanislav (1989),Oil,3.122639893,0.007,858.0,Air,0.256471407,1.8e-05,1.2,0.0512,-1.0,0.031,Dispersed,Dispersed Bubbles,Dispersed Bubbles,Dispersed
Kokal and Stanislav (1989),Oil,2.208175643,0.007,858.0,Air,0.447996963,1.8e-05,1.2,0.0512,-1.0,0.031,Intermittent,Dispersed Bubbles,Dispersed Bubbles,Dispersed
Kokal and Stanislav (1989),Oil,2.21665151,0.007,858.0,Air,1.940077518,1.8e-05,1.2,0.0512,-1.0,0.031,Intermittent,Dispersed Bubbles,Dispersed Bubbles,Dispersed
Kokal and Stanislav (1989),Oil,1.361400139,0.007,858.0,Air,0.13014038,1.8e-05,1.2,0.0512,-1.0,0.031,Intermittent,Dispersed Bubbles,Dispersed Bubbles,Dispersed
Kokal and Stanislav (1989),Oil,2.093721439,0.007,858.0,Air,0.908605028,1.8e-05,1.2,0.0512,-1.0,0.031,Intermittent,Dispersed Bubbles,Dispersed Bubbles,Dispersed
Kokal and Stanislav (1989),Oil,2.135994505,0.007,858.0,Air,0.245911161,1.8e-05,1.2,0.0512,-1.0,0.031,Intermittent,Dispersed Bubbles,Dispersed Bubbles,Dispersed
Kokal and Stanislav (1989),Oil,0.59760773,0.007,858.0,Air,0.085925531,1.8e-05,1.2,0.0512,-1.0,0.031,Stratified,Enlogated Bubble with Dispersed Bubbles,Elongated Bubbles,Intermittent
Kokal and Stanislav (1989),Oil,0.908496888,0.007,858.0,Air,0.086016091,1.8e-05,1.2,0.0512,-1.0,0.031,Intermittent,Enlogated Bubble with Dispersed Bubbles,Elongated Bubbles,Intermittent
Kokal and Stanislav (1989),Oil,0.907479372,0.007,858.0,Air,0.132727084,1.8e-05,1.2,0.0512,-1.0,0.031,Intermittent,Enlogated Bubble with Dispersed Bubbles,Elongated Bubbles,Intermittent
Kokal and Stanislav (1989),Oil,0.596365151,0.007,858.0,Air,0.133664158,1.8e-05,1.2,0.0512,-1.0,0.031,Stratified,Enlogated Bubble with Dispersed Bubbles,Elongated Bubbles,Intermittent
Kokal and Stanislav (1989),Oil,0.929877017,0.007,858.0,Air,0.237818375,1.8e-05,1.2,0.0512,-1.0,0.031,Intermittent,Enlogated Bubble with Dispersed Bubbles,Elongated Bubbles,Intermittent
Kokal and Stanislav (1989),Oil,0.603651829,0.007,858.0,Air,0.235551317,1.8e-05,1.2,0.0512,-1.0,0.031,Stratified,Enlogated Bubble with Dispersed Bubbles,Elongated Bubbles,Intermittent
Kokal and Stanislav (1989),Oil,0.934259458,0.007,858.0,Air,0.445819891,1.8e-05,1.2,0.0512,-1.0,0.031,Intermittent,Enlogated Bubble with Dispersed Bubbles,Elongated Bubbles,Intermittent
Kokal and Stanislav (1989),Oil,0.610511357,0.007,858.0,Air,0.445792295,1.8e-05,1.2,0.0512,-1.0,0.031,Stratified,Enlogated Bubble with Dispersed Bubbles,Elongated Bubbles,Intermittent
Kokal and Stanislav (1989),Oil,0.371138934,0.007,858.0,Air,0.443646879,1.8e-05,1.2,0.0512,-1.0,0.031,Stratified,Enlogated Bubble with Dispersed Bubbles,Elongated Bubbles,Intermittent
Kokal and Stanislav (1989),Oil,0.617692293,0.007,858.0,Air,0.937308941,1.8e-05,1.2,0.0512,-1.0,0.031,Intermittent,Enlogated Bubble with Dispersed Bubbles,Elongated Bubbles,Intermittent
Kokal and Stanislav (1989),Oil,0.369171099,0.007,858.0,Air,0.914585207,1.8e-05,1.2,0.0512,-1.0,0.031,Stratified,Enlogated Bubble with Dispersed Bubbles,Elongated Bubbles,Intermittent
Kokal and Stanislav (1989),Oil,0.214486512,0.007,858.0,Air,0.915311031,1.8e-05,1.2,0.0512,-1.0,0.031,Stratified,Enlogated Bubble with Dispersed Bubbles,Elongated Bubbles,Intermittent
Kokal and Stanislav (1989),Oil,1.410783795,0.007,858.0,Air,0.912331055,1.8e-05,1.2,0.0512,-1.0,0.031,Intermittent,Slug Flow,Slug,Intermittent
Kokal and Stanislav (1989),Oil,0.370694352,0.007,858.0,Air,1.794784922,1.8e-05,1.2,0.0512,-1.0,0.031,Stratified,Slug Flow,Slug,Intermittent
Kokal and Stanislav (1989),Oil,0.932816905,0.007,858.0,Air,1.813656315,1.8e-05,1.2,0.0512,-1.0,0.031,Intermittent,Slug Flow,Slug,Intermittent
Kokal and Stanislav (1989),Oil,0.611296183,0.007,858.0,Air,1.807303531,1.8e-05,1.2,0.0512,-1.0,0.031,Intermittent,Slug Flow,Slug,Intermittent
Kokal and Stanislav (1989),Oil,0.206950966,0.007,858.0,Air,1.832427959,1.8e-05,1.2,0.0512,-1.0,0.031,Stratified,Slug Flow,Slug,Intermittent
Kokal and Stanislav (1989),Oil,0.123635704,0.007,858.0,Air,1.832986933,1.8e-05,1.2,0.0512,-1.0,0.031,Stratified,Slug Flow,Slug,Intermittent
Kokal and Stanislav (1989),Oil,1.404313635,0.007,858.0,Air,1.912621131,1.8e-05,1.2,0.0512,-1.0,0.031,Intermittent,Slug Flow,Slug,Intermittent
Kokal and Stanislav (1989),Oil,0.215042524,0.007,858.0,Air,2.878614831,1.8e-05,1.2,0.0512,-1.0,0.031,Stratified,Slug Flow,Slug,Intermittent
Kokal and Stanislav (1989),Oil,1.404410198,0.007,858.0,Air,2.861222821,1.8e-05,1.2,0.0512,-1.0,0.031,Intermittent,Slug Flow,Slug,Intermittent
Kokal and Stanislav (1989),Oil,0.930806929,0.007,858.0,Air,2.872364817,1.8e-05,1.2,0.0512,-1.0,0.031,Intermittent,Slug Flow,Slug,Intermittent
Kokal and Stanislav (1989),Oil,0.609619555,0.007,858.0,Air,2.874503319,1.8e-05,1.2,0.0512,-1.0,0.031,Intermittent,Slug Flow,Slug,Intermittent
Kokal and Stanislav (1989),Oil,0.370567226,0.007,858.0,Air,2.858430983,1.8e-05,1.2,0.0512,-1.0,0.031,Stratified,Slug Flow,Slug,Intermittent
Kokal and Stanislav (1989),Oil,0.606773647,0.007,858.0,Air,5.549166762,1.8e-05,1.2,0.0512,-1.0,0.031,Intermittent,Slug Flow,Slug,Intermittent
Kokal and Stanislav (1989),Oil,1.404151067,0.007,858.0,Air,5.607003717,1.8e-05,1.2,0.0512,-1.0,0.031,Intermittent,Slug Flow,Slug,Intermittent
Kokal and Stanislav (1989),Oil,0.938278521,0.007,858.0,Air,5.627230626,1.8e-05,1.2,0.0512,-1.0,0.031,Intermittent,Slug Flow,Slug,Intermittent
Kokal and Stanislav (1989),Oil,0.12662559,0.007,858.0,Air,5.093131649,1.8e-05,1.2,0.0512,-1.0,0.031,Stratified,Annular,Annular,Annular
Kokal and Stanislav (1989),Oil,0.063950906,0.007,858.0,Air,5.65332468,1.8e-05,1.2,0.0512,-1.0,0.031,Stratified,Annular,Annular,Annular
Kokal and Stanislav (1989),Oil,0.03152738,0.007,858.0,Air,5.666848826,1.8e-05,1.2,0.0512,-1.0,0.031,Stratified,Annular,Annular,Annular
Kokal and Stanislav (1989),Oil,0.220507554,0.007,858.0,Air,5.735157921,1.8e-05,1.2,0.0512,-1.0,0.031,Stratified,Annular,Annular,Annular
Kokal and Stanislav (1989),Oil,0.38298253,0.007,858.0,Air,10.17467851,1.8e-05,1.2,0.0512,-1.0,0.031,Annular,Annular,Annular,Annular
Kokal and Stanislav (1989),Oil,0.22075209,0.007,858.0,Air,10.19363442,1.8e-05,1.2,0.0512,-1.0,0.031,Annular,Annular,Annular,Annular
Kokal and Stanislav (1989),Oil,0.127124402,0.007,858.0,Air,9.932358452,1.8e-05,1.2,0.0512,-1.0,0.031,Stratified,Annular,Annular,Annular
Kokal and Stanislav (1989),Oil,0.064061478,0.007,858.0,Air,9.955381287,1.8e-05,1.2,0.0512,-1.0,0.031,Stratified,Annular,Annular,Annular
Kokal and Stanislav (1989),Oil,0.030990268,0.007,858.0,Air,9.979834578,1.8e-05,1.2,0.0512,-1.0,0.031,Stratified,Annular,Annular,Annular
Kokal and Stanislav (1989),Oil,0.637001967,0.007,858.0,Air,10.21119034,1.8e-05,1.2,0.0512,-1.0,0.031,Intermittent,Annular,Annular,Annular
Kokal and Stanislav (1989),Oil,0.642436596,0.007,858.0,Air,14.99585163,1.8e-05,1.2,0.0512,-1.0,0.031,Annular,Annular,Annular,Annular
Kokal and Stanislav (1989),Oil,0.393006798,0.007,858.0,Air,15.02076953,1.8e-05,1.2,0.0512,-1.0,0.031,Annular,Annular,Annular,Annular
Kokal and Stanislav (1989),Oil,0.224469521,0.007,858.0,Air,15.04921853,1.8e-05,1.2,0.0512,-1.0,0.031,Annular,Annular,Annular,Annular
Kokal and Stanislav (1989),Oil,0.131243571,0.007,858.0,Air,15.07652939,1.8e-05,1.2,0.0512,-1.0,0.031,Annular,Annular,Annular,Annular
Kokal and Stanislav (1989),Oil,0.065107264,0.007,858.0,Air,15.11227755,1.8e-05,1.2,0.0512,-1.0,0.031,Annular,Annular,Annular,Annular
Kokal and Stanislav (1989),Oil,0.031980825,0.007,858.0,Air,15.14861615,1.8e-05,1.2,0.0512,-1.0,0.031,Stratified,Annular,Annular,Annular
Kokal and Stanislav (1989),Oil,0.636531458,0.007,858.0,Air,19.8083608,1.8e-05,1.2,0.0512,-1.0,0.031,Annular,Annular,Annular,Annular
Kokal and Stanislav (1989),Oil,0.390655198,0.007,858.0,Air,20.21261171,1.8e-05,1.2,0.0512,-1.0,0.031,Annular,Annular,Annular,Annular
Kokal and Stanislav (1989),Oil,0.225459202,0.007,858.0,Air,20.25018237,1.8e-05,1.2,0.0512,-1.0,0.031,Annular,Annular,Annular,Annular
Kokal and Stanislav (1989),Oil,0.131274934,0.007,858.0,Air,20.28721692,1.8e-05,1.2,0.0512,-1.0,0.031,Annular,Annular,Annular,Annular
Kokal and Stanislav (1989),Oil,0.0651155,0.007,858.0,Air,19.96151917,1.8e-05,1.2,0.0512,-1.0,0.031,Annular,Annular,Annular,Annular
Kokal and Stanislav (1989),Oil,0.032235349,0.007,858.0,Air,20.00899081,1.8e-05,1.2,0.0512,-1.0,0.031,Annular,Annular,Annular,Annular
Kokal and Stanislav (1989),Oil,0.639130068,0.007,858.0,Air,26.90250992,1.8e-05,1.2,0.0512,-1.0,0.031,Annular,Annular,Annular,Annular
Kokal and Stanislav (1989),Oil,0.387515824,0.007,858.0,Air,26.94802374,1.8e-05,1.2,0.0512,-1.0,0.031,Annular,Annular,Annular,Annular
Kokal and Stanislav (1989),Oil,0.224883624,0.007,858.0,Air,26.99761121,1.8e-05,1.2,0.0512,-1.0,0.031,Annular,Annular,Annular,Annular
Kokal and Stanislav (1989),Oil,0.130867187,0.007,858.0,Air,27.04703649,1.8e-05,1.2,0.0512,-1.0,0.031,Annular,Annular,Annular,Annular
Kokal and Stanislav (1989),Oil,0.065453907,0.007,858.0,Air,27.11041869,1.8e-05,1.2,0.0512,-1.0,0.031,Annular,Annular,Annular,Annular
Kokal and Stanislav (1989),Oil,0.032000969,0.007,858.0,Air,27.17603741,1.8e-05,1.2,0.0512,-1.0,0.031,Annular,Annular,Annular,Annular
Kokal and Stanislav (1989),Oil,0.06261332,0.007,858.0,Air,2.862647541,1.8e-05,1.2,0.0512,-1.0,0.031,Stratified,Annular,Annular,Annular
Kokal and Stanislav (1989),Oil,0.133012303,0.007,858.0,Air,2.811289902,1.8e-05,1.2,0.0512,-1.0,0.031,Stratified,Annular,Annular,Annular
Kokal and Stanislav (1989),Oil,0.059225989,0.007,858.0,Air,0.087248087,1.8e-05,1.2,0.0512,5.0,0.031,Intermittent,Enlogated Bubble,Elongated Bubbles,Intermittent
Kokal and Stanislav (1989),Oil,0.029833444,0.007,858.0,Air,0.086234923,1.8e-05,1.2,0.0512,5.0,0.031,Intermittent,Enlogated Bubble,Elongated Bubbles,Intermittent
Kokal and Stanislav (1989),Oil,0.212573865,0.007,858.0,Air,0.088654983,1.8e-05,1.2,0.0512,5.0,0.031,Intermittent,Enlogated Bubble,Elongated Bubbles,Intermittent
Kokal and Stanislav (1989),Oil,0.119412547,0.007,858.0,Air,0.088109399,1.8e-05,1.2,0.0512,5.0,0.031,Intermittent,Enlogated Bubble,Elongated Bubbles,Intermittent
Kokal and Stanislav (1989),Oil,0.059498753,0.007,858.0,Air,0.141330253,1.8e-05,1.2,0.0512,5.0,0.031,Intermittent,Enlogated Bubble,Elongated Bubbles,Intermittent
Kokal and Stanislav (1989),Oil,0.211839531,0.007,858.0,Air,0.142418736,1.8e-05,1.2,0.0512,5.0,0.031,Intermittent,Enlogated Bubble,Elongated Bubbles,Intermittent
Kokal and Stanislav (1989),Oil,0.119915935,0.007,858.0,Air,0.144962988,1.8e-05,1.2,0.0512,5.0,0.031,Intermittent,Enlogated Bubble,Elongated Bubbles,Intermittent
Kokal and Stanislav (1989),Oil,0.029555053,0.007,858.0,Air,0.142237697,1.8e-05,1.2,0.0512,5.0,0.031,Intermittent,Enlogated Bubble,Elongated Bubbles,Intermittent
Kokal and Stanislav (1989),Oil,0.029601484,0.007,858.0,Air,0.231455285,1.8e-05,1.2,0.0512,5.0,0.031,Intermittent,Enlogated Bubble,Elongated Bubbles,Intermittent
Kokal and Stanislav (1989),Oil,0.058848082,0.007,858.0,Air,0.241214706,1.8e-05,1.2,0.0512,5.0,0.031,Intermittent,Enlogated Bubble,Elongated Bubbles,Intermittent
Kokal and Stanislav (1989),Oil,0.213143949,0.007,858.0,Air,0.248948536,1.8e-05,1.2,0.0512,5.0,0.031,Intermittent,Enlogated Bubble,Elongated Bubbles,Intermittent
Kokal and Stanislav (1989),Oil,0.118569786,0.007,858.0,Air,0.244631557,1.8e-05,1.2,0.0512,5.0,0.031,Intermittent,Enlogated Bubble,Elongated Bubbles,Intermittent
Kokal and Stanislav (1989),Oil,0.357022892,0.007,858.0,Air,0.085339516,1.8e-05,1.2,0.0512,5.0,0.031,Intermittent,Enlogated Bubble,Elongated Bubbles,Intermittent
Kokal and Stanislav (1989),Oil,0.9237698,0.007,858.0,Air,0.088727211,1.8e-05,1.2,0.0512,5.0,0.031,Intermittent,Enlogated Bubble with Dispersed Bubbles,Elongated Bubbles,Intermittent
Kokal and Stanislav (1989),Oil,0.613135428,0.007,858.0,Air,0.090140283,1.8e-05,1.2,0.0512,5.0,0.031,Intermittent,Enlogated Bubble with Dispersed Bubbles,Elongated Bubbles,Intermittent
Kokal and Stanislav (1989),Oil,0.9241261,0.007,858.0,Air,0.141435931,1.8e-05,1.2,0.0512,5.0,0.031,Intermittent,Enlogated Bubble with Dispersed Bubbles,Elongated Bubbles,Intermittent
Kokal and Stanislav (1989),Oil,0.616301603,0.007,858.0,Air,0.143971404,1.8e-05,1.2,0.0512,5.0,0.031,Intermittent,Enlogated Bubble with Dispersed Bubbles,Elongated Bubbles,Intermittent
Kokal and Stanislav (1989),Oil,0.923823605,0.007,858.0,Air,0.238425248,1.8e-05,1.2,0.0512,5.0,0.031,Intermittent,Enlogated Bubble with Dispersed Bubbles,Elongated Bubbles,Intermittent
Kokal and Stanislav (1989),Oil,0.6168272,0.007,858.0,Air,0.243410146,1.8e-05,1.2,0.0512,5.0,0.031,Intermittent,Enlogated Bubble with Dispersed Bubbles,Elongated Bubbles,Intermittent
Kokal and Stanislav (1989),Oil,0.362378098,0.007,858.0,Air,0.240012056,1.8e-05,1.2,0.0512,5.0,0.031,Intermittent,Enlogated Bubble with Dispersed Bubbles,Elongated Bubbles,Intermittent
Kokal and Stanislav (1989),Oil,0.21812846,0.007,858.0,Air,0.450649987,1.8e-05,1.2,0.0512,5.0,0.031,Intermittent,Enlogated Bubble with Dispersed Bubbles,Elongated Bubbles,Intermittent
Kokal and Stanislav (1989),Oil,0.91382984,0.007,858.0,Air,0.467078944,1.8e-05,1.2,0.0512,5.0,0.031,Intermittent,Enlogated Bubble with Dispersed Bubbles,Elongated Bubbles,Intermittent
Kokal and Stanislav (1989),Oil,0.360334589,0.007,858.0,Air,0.474431822,1.8e-05,1.2,0.0512,5.0,0.031,Intermittent,Enlogated Bubble with Dispersed Bubbles,Elongated Bubbles,Intermittent
Kokal and Stanislav (1989),Oil,0.61369235,0.007,858.0,Air,0.471909717,1.8e-05,1.2,0.0512,5.0,0.031,Intermittent,Enlogated Bubble with Dispersed Bubbles,Elongated Bubbles,Intermittent
Kokal and Stanislav (1989),Oil,0.369801093,0.007,858.0,Air,0.946205954,1.8e-05,1.2,0.0512,5.0,0.031,Intermittent,Enlogated Bubble with Dispersed Bubbles,Elongated Bubbles,Intermittent
Kokal and Stanislav (1989),Oil,0.06222314,0.007,858.0,Air,0.932845088,1.8e-05,1.2,0.0512,5.0,0.031,Intermittent,Enlogated Bubble with Dispersed Bubbles,Elongated Bubbles,Intermittent
Kokal and Stanislav (1989),Oil,0.031200519,0.007,858.0,Air,0.934768991,1.8e-05,1.2,0.0512,5.0,0.031,Intermittent,Enlogated Bubble with Dispersed Bubbles,Elongated Bubbles,Intermittent
Kokal and Stanislav (1989),Oil,0.221698819,0.007,858.0,Air,0.965546551,1.8e-05,1.2,0.0512,5.0,0.031,Intermittent,Enlogated Bubble with Dispersed Bubbles,Elongated Bubbles,Intermittent
Kokal and Stanislav (1989),Oil,0.124283346,0.007,858.0,Air,0.957995066,1.8e-05,1.2,0.0512,5.0,0.031,Intermittent,Enlogated Bubble with Dispersed Bubbles,Elongated Bubbles,Intermittent
Kokal and Stanislav (1989),Oil,0.613668742,0.007,858.0,Air,0.944921039,1.8e-05,1.2,0.0512,5.0,0.031,Intermittent,Enlogated Bubble with Dispersed Bubbles,Elongated Bubbles,Intermittent
Kokal and Stanislav (1989),Oil,0.120667934,0.007,858.0,Air,0.478204841,1.8e-05,1.2,0.0512,5.0,0.031,Intermittent,Enlogated Bubble with Dispersed Bubbles,Elongated Bubbles,Intermittent
Kokal and Stanislav (1989),Oil,0.060399758,0.007,858.0,Air,0.484345904,1.8e-05,1.2,0.0512,5.0,0.031,Intermittent,Enlogated Bubble with Dispersed Bubbles,Elongated Bubbles,Intermittent
Kokal and Stanislav (1989),Oil,1.419462564,0.007,858.0,Air,0.90329189,1.8e-05,1.2,0.0512,5.0,0.031,Intermittent,Slug Flow,Slug,Intermittent
Kokal and Stanislav (1989),Oil,0.920204037,0.007,858.0,Air,0.93276118,1.8e-05,1.2,0.0512,5.0,0.031,Intermittent,Slug Flow,Slug,Intermittent
Kokal and Stanislav (1989),Oil,0.221410209,0.007,858.0,Air,1.777084617,1.8e-05,1.2,0.0512,5.0,0.031,Intermittent,Slug Flow,Slug,Intermittent
Kokal and Stanislav (1989),Oil,0.062420674,0.007,858.0,Air,1.838204771,1.8e-05,1.2,0.0512,5.0,0.031,Intermittent,Slug Flow,Slug,Intermittent
Kokal and Stanislav (1989),Oil,0.935534002,0.007,858.0,Air,1.847402858,1.8e-05,1.2,0.0512,5.0,0.031,Intermittent,Slug Flow,Slug,Intermittent
Kokal and Stanislav (1989),Oil,0.370466437,0.007,858.0,Air,1.873705924,1.8e-05,1.2,0.0512,5.0,0.031,Intermittent,Slug Flow,Slug,Intermittent
Kokal and Stanislav (1989),Oil,0.621722042,0.007,858.0,Air,1.879962948,1.8e-05,1.2,0.0512,5.0,0.031,Intermittent,Slug Flow,Slug,Intermittent
Kokal and Stanislav (1989),Oil,1.421186069,0.007,858.0,Air,1.943463103,1.8e-05,1.2,0.0512,5.0,0.031,Intermittent,Slug Flow,Slug,Intermittent
Kokal and Stanislav (1989),Oil,0.122946509,0.007,858.0,Air,1.882432656,1.8e-05,1.2,0.0512,5.0,0.031,Intermittent,Slug Flow,Slug,Intermittent
Kokal and Stanislav (1989),Oil,0.931384161,0.007,858.0,Air,2.791518808,1.8e-05,1.2,0.0512,5.0,0.031,Intermittent,Slug Flow,Slug,Intermittent
Kokal and Stanislav (1989),Oil,1.427483921,0.007,858.0,Air,2.908326513,1.8e-05,1.2,0.0512,5.0,0.031,Intermittent,Slug Flow,Slug,Intermittent
Kokal and Stanislav (1989),Oil,0.369085235,0.007,858.0,Air,2.947797906,1.8e-05,1.2,0.0512,5.0,0.031,Intermittent,Slug Flow,Slug,Intermittent
Kokal and Stanislav (1989),Oil,2.176455139,0.007,858.0,Air,3.162800906,1.8e-05,1.2,0.0512,5.0,0.031,Intermittent,Slug Flow,Slug,Intermittent
Kokal and Stanislav (1989),Oil,0.621261642,0.007,858.0,Air,3.124047242,1.8e-05,1.2,0.0512,5.0,0.031,Intermittent,Slug Flow,Slug,Intermittent
Kokal and Stanislav (1989),Oil,0.21823239,0.007,858.0,Air,3.129813244,1.8e-05,1.2,0.0512,5.0,0.031,Intermittent,Slug Flow,Slug,Intermittent
Kokal and Stanislav (1989),Oil,0.617682651,0.007,858.0,Air,5.525722606,1.8e-05,1.2,0.0512,5.0,0.031,Intermittent,Slug Flow,Slug,Intermittent
Kokal and Stanislav (1989),Oil,1.419662781,0.007,858.0,Air,5.704125429,1.8e-05,1.2,0.0512,5.0,0.031,Intermittent,Slug Flow,Slug,Intermittent
Kokal and Stanislav (1989),Oil,0.934873439,0.007,858.0,Air,5.772390075,1.8e-05,1.2,0.0512,5.0,0.031,Intermittent,Slug Flow,Slug,Intermittent
Kokal and Stanislav (1989),Oil,1.416977464,0.007,858.0,Air,11.39622736,1.8e-05,1.2,0.0512,5.0,0.031,Intermittent,Slug Flow,Slug,Intermittent
Kokal and Stanislav (1989),Oil,0.60303714,0.007,858.0,Air,10.13457525,1.8e-05,1.2,0.0512,5.0,0.031,Intermittent,Slug Flow,Slug,Intermittent
Kokal and Stanislav (1989),Oil,0.11989531,0.007,858.0,Air,2.85556354,1.8e-05,1.2,0.0512,5.0,0.031,Intermittent,Slug Flow,Slug,Intermittent
Kokal and Stanislav (1989),Oil,0.377527587,0.007,858.0,Air,5.305270392,1.8e-05,1.2,0.0512,5.0,0.031,Intermittent,Slug Flow,Slug,Intermittent
Kokal and Stanislav (1989),Oil,2.070292243,0.007,858.0,Air,0.09120227,1.8e-05,1.2,0.0512,5.0,0.031,Intermittent,Dispersed Bubbles,Dispersed Bubbles,Dispersed
Kokal and Stanislav (1989),Oil,3.03588482,0.007,858.0,Air,0.092349229,1.8e-05,1.2,0.0512,5.0,0.031,Dispersed,Dispersed Bubbles,Dispersed Bubbles,Dispersed
Kokal and Stanislav (1989),Oil,2.095662233,0.007,858.0,Air,0.142550139,1.8e-05,1.2,0.0512,5.0,0.031,Intermittent,Dispersed Bubbles,Dispersed Bubbles,Dispersed
Kokal and Stanislav (1989),Oil,3.041247335,0.007,858.0,Air,0.147690796,1.8e-05,1.2,0.0512,5.0,0.031,Dispersed,Dispersed Bubbles,Dispersed Bubbles,Dispersed
Kokal and Stanislav (1989),Oil,2.140480763,0.007,858.0,Air,0.238834022,1.8e-05,1.2,0.0512,5.0,0.031,Intermittent,Dispersed Bubbles,Dispersed Bubbles,Dispersed
Kokal and Stanislav (1989),Oil,3.035641429,0.007,858.0,Air,0.257835091,1.8e-05,1.2,0.0512,5.0,0.031,Dispersed,Dispersed Bubbles,Dispersed Bubbles,Dispersed
Kokal and Stanislav (1989),Oil,2.09271442,0.007,858.0,Air,0.486369124,1.8e-05,1.2,0.0512,5.0,0.031,Intermittent,Dispersed Bubbles,Dispersed Bubbles,Dispersed
Kokal and Stanislav (1989),Oil,2.967391293,0.007,858.0,Air,0.507189292,1.8e-05,1.2,0.0512,5.0,0.031,Dispersed,Dispersed Bubbles,Dispersed Bubbles,Dispersed
Kokal and Stanislav (1989),Oil,2.079057,0.007,858.0,Air,0.984044951,1.8e-05,1.2,0.0512,5.0,0.031,Intermittent,Dispersed Bubbles,Dispersed Bubbles,Dispersed
Kokal and Stanislav (1989),Oil,3.085664084,0.007,858.0,Air,1.086190936,1.8e-05,1.2,0.0512,5.0,0.031,Dispersed,Dispersed Bubbles,Dispersed Bubbles,Dispersed
